subset,attempts,filled_attempts,fill_rate,filled_shares,shares_per_attempt,partial_fill_attempts,complete_fill_attempts,partial_fill_share_of_fills,median_time_to_first_fill_ms,p90_time_to_first_fill_ms,median_queue_ahead_shares,median_queue_ahead_orders,queue_ahead_zero_share,filled_share_of_attempts,gross_bps_per_filled_share,net_floor_bps_per_filled_share,net_fixed_bps_per_filled_share,ev_per_attempt_usd_floor,ev_per_attempt_usd_fixed,ev_per_attempt_bps_floor,ev_per_attempt_bps_fixed,rebate_sensitivity_ev_per_attempt_usd
"|I|[0,0.2)",193503,9241,0.04775636553438448,828067.0,4.279349674165259,1397,7844,0.151174115355481,440.199797,881.42487,627.0,5.0,0.0,4.279349674165259,-1.2513486529145579,-0.062243961232757106,-0.0950354622544032,-0.0020313203815097705,-0.0029869975695592317,-0.003069762837556964,-0.004513997013159885,0.005671509031987695
"|I|[0.2,0.4)",224672,9904,0.044082039595499216,907425.0,4.038887800883065,1233,8671,0.1244951534733441,438.444973,882.7282235000001,600.0,5.0,0.0,4.038887800883065,-1.306904473208454,-0.05441000321268821,-0.07975573485080237,-0.0018172507970313728,-0.0025948908676816647,-0.0025884613137355165,-0.0036961186839658978,0.0054527472445581445
"|I|[0.4,0.6)",159643,6108,0.038260368447097584,557970.0,3.4951109663436544,797,5311,0.13048461034708578,442.0958625,889.9052564000001,701.0,6.0,0.0,3.4951109663436544,-1.2104782974083066,-0.05869528856468814,-0.08926625478070054,-0.001600728928709171,-0.002405368215763593,-0.002260029630180271,-0.0033960799618354682,0.004690470810709406
"|I|[0.6,0.8)",111204,4273,0.0384248768029927,390950.0,3.51561094924643,530,3743,0.12403463608705827,452.306092,882.7218966,800.0,6.0,0.0,3.51561094924643,-1.204370480371143,-0.06303312885787912,-0.09862537263738105,-0.0019431773615123298,-0.002679725805789967,-0.0026668947975589208,-0.00367776351860319,0.004384922347131245
"|I|[0.8,1.0001)",48746,2211,0.04535756780043491,201610.0,4.135929101875026,301,1910,0.13613749434644956,413.17498,893.859296,952.0,6.0,0.0,4.135929101875026,-1.1943809384519204,-0.04246223063426302,-0.0702797276780272,-0.0014415532933795164,-0.002174478981343047,-0.0017812676109654777,-0.0026869134828245624,0.00600311908999553
