subset,attempts,filled_attempts,fill_rate,filled_shares,shares_per_attempt,partial_fill_attempts,complete_fill_attempts,partial_fill_share_of_fills,median_time_to_first_fill_ms,p90_time_to_first_fill_ms,median_queue_ahead_shares,median_queue_ahead_orders,queue_ahead_zero_share,filled_share_of_attempts,gross_bps_per_filled_share,net_floor_bps_per_filled_share,net_fixed_bps_per_filled_share,ev_per_attempt_usd_floor,ev_per_attempt_usd_fixed,ev_per_attempt_bps_floor,ev_per_attempt_bps_fixed,rebate_sensitivity_ev_per_attempt_usd
"qp[0,0.25)",329,22,0.0668693009118541,714.0,2.1702127659574466,19,3,0.8636363636363636,495.3016985,842.0235170000001,25.0,1.0,0.0,2.1702127659574466,-1.8454969495830909,-0.0031770779378046867,-0.003343711162250148,-0.014440752071482764,-0.015198149002938392,-0.013435331874286182,-0.014139995944710007,-0.01053436909275936
"qp[0.25,0.5)",612,72,0.11764705882352941,4188.0,6.8431372549019605,61,11,0.8472222222222222,368.06131,905.3834614999998,66.0,1.0,0.0,6.8431372549019605,-3.969664138865439,-0.16302797032498104,-0.20222409462890537,-0.012254347322899081,-0.017972007416206807,-0.01081364316969182,-0.015859096377883523,6.329973592444915e-05
"qp[0.5,0.75)",87946,6123,0.06962226821003797,548602.0,6.237941464080231,933,5190,0.15237628613424792,408.419564,872.2858864,200.0,2.0,0.0,6.237941464080231,-1.5432428564084015,-0.06569181235650652,-0.08875131562985983,-0.0038591882628207065,-0.005253206541041988,-0.004255424979688003,-0.005792572120301626,0.007369106372523709
"qp[0.75,0.9)",367615,16735,0.0455231696203909,1536784.0,4.1804170123634785,2078,14657,0.12417089931281745,443.963921,884.6572992,500.0,4.0,0.0,4.1804170123634785,-1.208887190061288,-0.052796405883239896,-0.07497961925168231,-0.0019619034537187224,-0.002785507682292143,-0.002434491958426279,-0.00345648815685661,0.005562847168535537
"qp[0.9,0.99)",250295,8327,0.03326874288339759,753573.0,3.0107393275934395,1121,7206,0.13462231295784796,456.006245,893.3386478000001,1900.0,11.0,0.0,3.0107393275934395,-1.1050777567718306,-0.057902967934926435,-0.10143270416083458,-0.0010328398098477657,-0.0016620233744964355,-0.0018912036584199017,-0.003043283824129844,0.004386490979820425
"qp[0.99,1.01)",30971,458,0.01478802750960576,42161.0,1.3613057376255207,46,412,0.10043668122270742,391.2470835,867.5421922999999,60558.0,36.0,0.0,1.3613057376255207,-1.2820536713926616,-0.12747599266458706,-0.2941054004750089,-0.00038311846788009567,-0.0010008647303084322,-0.0021284580007797415,-0.005560417263910021,0.0020672318598458413
