dimension,state,horizon_ms,observations,mean_signed_mid_move_bps,block_bootstrap_se_bps,ci_low_bps,ci_high_bps,hurdle_bps,required_over_signal,mean_abs_deviation_over_half_spread,mean_abs_microprice_adjustment_bps,mean_price_usd,mean_spread_bps,eligible_for_best
strength_band,abs_dev_over_half_spread_lt_0.02,100,361812,0.012775028085641904,0.0005941189046714286,0.011602061913565507,0.01394998502590255,4.322905261458109,338.3871434550272,0.15175270961171672,0.1760696596562367,70.39686742009664,2.7130768006763857,True
strength_band,0.02_to_0.05,100,42276,0.0032493525227193943,0.001427210900791855,0.0004911466062509539,0.006041451742829243,4.75028011703046,1461.915899803612,0.03499845540508437,0.05375858643867227,73.15507794020247,3.098484320866945,True
strength_band,0.05_to_0.10,100,93480,0.004909106053202995,0.0006901728871284898,0.003601865813121225,0.006298556694273289,4.138100561907762,842.9438103517476,0.06498779016547196,0.08352911489628632,69.7238833975182,2.567506829250887,True
strength_band,0.10_to_0.20,100,97054,0.011194606428362662,0.000780976093734317,0.009715183474180116,0.01274740243786359,3.4203692927115226,305.53725265817945,0.15534848811210664,0.159112591780819,70.96501720691575,2.0582573328547,True
strength_band,gte_0.20,100,132321,0.02372230682812926,0.0011014725233653043,0.0216298007608127,0.025887839162281868,3.1589970419515754,133.16567671259202,0.35614358192473866,0.3191910020424958,69.91142535954232,1.8233683183679588,True
strength_band,abs_dev_over_half_spread_lt_0.02,250,361812,0.025967395146429845,0.0011102783000145524,0.023887676083302237,0.02811031399678567,4.321631340320438,166.4252927931665,0.15175270961171672,0.1760696596562367,70.39686742009664,2.7130768006763857,True
strength_band,0.02_to_0.05,250,42276,0.006709764946114044,0.0021178818393124553,0.0026580991691646408,0.010659985902293155,4.742055265623249,706.7394020068627,0.03499845540508437,0.05375858643867227,73.15507794020247,3.098484320866945,True
strength_band,0.05_to_0.10,250,93480,0.011073124701926597,0.0011559563768841808,0.008985616555413333,0.013415086575217217,4.134874159823199,373.4152979514245,0.06498779016547196,0.08352911489628632,69.7238833975182,2.567506829250887,True
strength_band,0.10_to_0.20,250,97054,0.022006320664631623,0.001122145157426305,0.01982140468181688,0.024291340976025467,3.421296335039006,155.46880313062445,0.15534848811210664,0.159112591780819,70.96501720691575,2.0582573328547,True
strength_band,gte_0.20,250,132321,0.049267898805577935,0.002059655130536688,0.04529234269417944,0.05331776983843202,3.164858727098295,64.23774514085795,0.35614358192473866,0.3191910020424958,69.91142535954232,1.8233683183679588,True
strength_band,abs_dev_over_half_spread_lt_0.02,500,361812,0.04465212313072379,0.0016613032106402418,0.041429178701123545,0.04780318177029143,4.320138896656135,96.75102982244482,0.15175270961171672,0.1760696596562367,70.39686742009664,2.7130768006763857,True
strength_band,0.02_to_0.05,500,42276,0.01049709901930076,0.002963837365094058,0.00468535586501482,0.016251984632876384,4.73224463275382,450.81451780656323,0.03499845540508437,0.05375858643867227,73.15507794020247,3.098484320866945,True
strength_band,0.05_to_0.10,500,93480,0.017061084999038214,0.0016750869028496287,0.01395680157186829,0.02051268737216885,4.130761793015982,242.11600805276137,0.06498779016547196,0.08352911489628632,69.7238833975182,2.567506829250887,True
strength_band,0.10_to_0.20,500,97054,0.036696815550524876,0.0017065415708605238,0.03347848291669136,0.040139621648202076,3.422823224823103,93.27303128279604,0.15534848811210664,0.159112591780819,70.96501720691575,2.0582573328547,True
strength_band,gte_0.20,500,132321,0.08288727746098397,0.003239341162653517,0.07659350738321087,0.08926748051908727,3.1712116859845296,38.25932981665681,0.35614358192473866,0.3191910020424958,69.91142535954232,1.8233683183679588,True
strength_band,abs_dev_over_half_spread_lt_0.02,1000,361812,0.0733162922959199,0.002448689970181332,0.06848929022850675,0.07793925871826878,4.317985188153439,58.895302161832554,0.15175270961171672,0.1760696596562367,70.39686742009664,2.7130768006763857,True
strength_band,0.02_to_0.05,1000,42276,0.017384625176220574,0.004587327680493842,0.008940932467551163,0.026709704206429357,4.716990082348226,271.3311350997849,0.03499845540508437,0.05375858643867227,73.15507794020247,3.098484320866945,True
strength_band,0.05_to_0.10,1000,93480,0.028294857579194147,0.002465920262000065,0.023586275108432347,0.0332629276263891,4.125738143562507,145.81229582142362,0.06498779016547196,0.08352911489628632,69.7238833975182,2.567506829250887,True
strength_band,0.10_to_0.20,1000,97054,0.06091441640201309,0.002560331923700747,0.05600449824161698,0.06622257012184496,3.4242679729788965,56.21440990881318,0.15534848811210664,0.159112591780819,70.96501720691575,2.0582573328547,True
strength_band,gte_0.20,1000,132321,0.1382957960670108,0.005194737103456306,0.12811456356524065,0.1483156095770312,3.1805797634991864,22.99838356588978,0.35614358192473866,0.3191910020424958,69.91142535954232,1.8233683183679588,True
strength_band,abs_dev_over_half_spread_lt_0.02,2000,361798,0.11224113370010806,0.0038890417380921458,0.10437461742437056,0.11962188320608821,4.31502202321953,38.44421274956684,0.1517494769782477,0.17606718116090023,70.39690651966015,2.713106614019644,True
strength_band,0.02_to_0.05,2000,42273,0.027006213490039975,0.00810902860305048,0.011940048634170631,0.04337228123279605,4.6948559597293205,173.84354757696065,0.03499878908342952,0.053752266227701004,73.15674591346722,3.097828858321267,True
strength_band,0.05_to_0.10,2000,93477,0.04705925482519459,0.0041353945696707166,0.03901090985297083,0.05508964041181829,4.119061054849012,87.52924520691195,0.06498769154030727,0.08352823865813412,69.72254463664858,2.567484299364977,True
strength_band,0.10_to_0.20,2000,97051,0.09905549763890224,0.0042857121896227295,0.09076612742890487,0.10765456226772238,3.428657334665258,34.61349865874295,0.1553495240107347,0.15910975682478162,70.96573822011108,2.0581862774790602,True
strength_band,gte_0.20,2000,132314,0.21172452227520153,0.00754834431846433,0.19644512863048955,0.2264664337583288,3.1925874936347807,15.078968932493447,0.35614170573895715,0.319188056405009,69.91154269389483,1.8233667648889176,True
strength_band,abs_dev_over_half_spread_lt_0.02,5000,361755,0.16807476558582624,0.006580302791366265,0.15478050533182122,0.18080087998940114,4.309943572536419,25.643014033154046,0.1517470180310207,0.17606476084243922,70.39684778372101,2.713084717758432,True
strength_band,0.02_to_0.05,5000,42266,0.04622643527486048,0.014044983974693967,0.017557274318668842,0.07334524083236338,4.667689470141897,100.97446282388006,0.034997324983327555,0.05375198291917105,73.15263095632423,3.097909629527804,True
strength_band,0.05_to_0.10,5000,93470,0.07576629533759906,0.008112474446997094,0.06018740882258901,0.09158374615971733,4.110443938867477,54.251615715829615,0.06498748732691512,0.08352752160479535,69.71960099497166,2.5674710436298276,True
