horizon_ms,observations_valid_state,observations_defined_signal,coverage_fraction,mean_signed_mid_move_bps,block_bootstrap_se_bps,ci_low_bps,ci_high_bps,hurdle_bps,required_over_signal,signal_sign_ok
100,772200,726943,0.9413921263921264,0.012991213914886548,0.0004592500047934096,0.012128099500621577,0.013961265823325653,3.9916384780323866,307.2567740154285,True
250,772200,726943,0.9413921263921264,0.026644553942133185,0.0009013976433803968,0.024975430748563645,0.02859725235281629,3.9913019445857905,149.79803952635595,True
500,772200,726943,0.9413921263921264,0.04501538598676786,0.0014120961087966863,0.0423617014990481,0.04800218727331916,3.990820006170394,88.6545770671273,True
1000,772200,726943,0.9413921263921264,0.07444613380896198,0.002159884171363535,0.07025304589355147,0.0790076214341407,3.990113021259189,53.5973168398283,True
2000,772167,726913,0.9413935068450219,0.11525005448831563,0.0032867007234388492,0.10897584927781476,0.122283555905431,3.98926432569775,34.61399079947674,True
5000,772068,726816,0.9413885823528497,0.17715501468765796,0.005329869867686545,0.16744534866377,0.18835029088460237,3.9879364732506395,22.51099964786078,True
10000,771903,726653,0.941378644726086,0.219408729289535,0.0077870244993508055,0.20451355217690234,0.23552261148860576,3.987750369883133,18.174985028151905,True
15000,771738,726488,0.9413661112968391,0.2333234573932872,0.00994158485320969,0.2142242584350963,0.25295526805737983,3.9875219507392474,17.09010313531369,True
