date,scope,symbol,locate,timestamp_reversals,identical_timestamp_messages,messages_late_after_decision,cross_channel_ordering_ambiguity,canonical_order_source,action_taken
2019-07-30,DEV_SCOPE,AAPL,14,0,56833,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,MSFT,5289,0,29142,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,MU,5334,0,22289,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,AMD,337,0,37376,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,INTC,4184,0,25535,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,GOOG,3459,0,11039,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,FB,2741,0,30554,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,GOOGL,3460,0,10010,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,QCOM,6494,0,15670,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,CSCO,1740,0,13901,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,NVDA,5702,0,17013,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,PYPL,6474,0,13890,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,SBUX,6964,0,9885,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,CMCSA,1534,0,7955,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,TSLA,7928,0,27074,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,AMAT,325,0,7880,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,TXN,7991,0,5986,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,AMZN,386,0,33043,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,PEP,6089,0,6467,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,EBAY,2277,0,6125,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,MRVL,5273,0,7284,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,FISV,2884,0,9615,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,ZION,8813,0,2345,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,XEL,8665,0,3703,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,ATVI,604,0,7180,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,PTEN,6413,0,8527,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,BYND,1142,0,32062,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,NFLX,5498,0,20592,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,ON,5845,0,3740,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,TMUS,7810,0,6473,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,GILD,3339,0,12542,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,ADI,94,0,2020,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,CSX,1767,0,5769,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,WDC,8497,0,6426,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,AAL,7,0,7803,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,MDLZ,5020,0,7670,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,FITB,2886,0,3648,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,NWL,5723,0,7864,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,XLNX,8688,0,4923,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,WBA,8470,0,6297,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,KHC,4592,0,9518,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,DISCA,2043,0,4152,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,TER,7701,0,3879,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,PAYX,5986,0,3698,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,AABA,4,0,2271,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,CRZO,1735,0,3235,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,ROKU,6779,0,6141,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,EA,2263,0,8233,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,ADBE,91,0,6115,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,MAT,4959,0,4093,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,LRCX,4878,0,3225,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,ETFC,2584,0,2570,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,MCHP,4991,0,2520,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,SSNC,7450,0,10513,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,CTSH,1799,0,4233,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,DLTR,2084,0,2943,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,NXPI,5736,0,6173,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,STLD,7492,0,3015,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,ALXN,320,0,3666,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,AMTD,379,0,3867,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,ROST,6789,0,1834,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,FULL_TAPE,ALL,,0,3858123,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
