locate,symbol,reason
184,AGNCB,NOT_COMMON_STOCK
185,AGNCM,NOT_COMMON_STOCK
186,AGNCN,NOT_COMMON_STOCK
187,AGND,NOT_COMMON_STOCK
188,AGO,NOT_NASDAQ_LISTED
189,AGO-B,NOT_NASDAQ_LISTED
190,AGO-E,NOT_NASDAQ_LISTED
191,AGO-F,NOT_NASDAQ_LISTED
192,AGQ,NOT_NASDAQ_LISTED
193,AGR,NOT_NASDAQ_LISTED
194,AGRO,NOT_NASDAQ_LISTED
196,AGS,NOT_NASDAQ_LISTED
197,AGT,NOT_NASDAQ_LISTED
199,AGX,NOT_NASDAQ_LISTED
201,AGZ,NOT_NASDAQ_LISTED
202,AGZD,NOT_COMMON_STOCK
203,AHC,NOT_NASDAQ_LISTED
204,AHH,NOT_NASDAQ_LISTED
205,AHH-A,NOT_NASDAQ_LISTED
206,AHL-C,NOT_NASDAQ_LISTED
207,AHL-D,NOT_NASDAQ_LISTED
208,AHPI,FIRST_ADD_PRICE_BELOW_FLOOR
209,AHT,NOT_NASDAQ_LISTED
210,AHT-D,NOT_NASDAQ_LISTED
211,AHT-F,NOT_NASDAQ_LISTED
212,AHT-G,NOT_NASDAQ_LISTED
213,AHT-H,NOT_NASDAQ_LISTED
214,AHT-I,NOT_NASDAQ_LISTED
215,AI,NOT_NASDAQ_LISTED
216,AI-B,NOT_NASDAQ_LISTED
217,AI-C,NOT_NASDAQ_LISTED
218,AIA,NOT_COMMON_STOCK
219,AIC,NOT_NASDAQ_LISTED
220,AIEQ,NOT_NASDAQ_LISTED
221,AIF,NOT_NASDAQ_LISTED
222,AIG,NOT_NASDAQ_LISTED
223,AIG+,NOT_NASDAQ_LISTED
224,AIG-A,NOT_NASDAQ_LISTED
226,AIIQ,NOT_NASDAQ_LISTED
228,AIMT,FIRST_ADD_PRICE_BELOW_FLOOR
229,AIN,NOT_NASDAQ_LISTED
230,AINC,NOT_NASDAQ_LISTED
232,AIQ,NOT_COMMON_STOCK
233,AIR,NOT_NASDAQ_LISTED
235,AIRI,NOT_NASDAQ_LISTED
236,AIRR,NOT_COMMON_STOCK
237,AIRT,FIRST_ADD_PRICE_BELOW_FLOOR
238,AIRTP,NOT_COMMON_STOCK
239,AIRTW,NOT_COMMON_STOCK
240,AIT,NOT_NASDAQ_LISTED
241,AIV,NOT_NASDAQ_LISTED
242,AIW,NOT_NASDAQ_LISTED
243,AIY,NOT_NASDAQ_LISTED
244,AIZ,NOT_NASDAQ_LISTED
245,AIZP,NOT_NASDAQ_LISTED
246,AJG,NOT_NASDAQ_LISTED
247,AJRD,NOT_NASDAQ_LISTED
248,AJX,NOT_NASDAQ_LISTED
249,AJXA,NOT_NASDAQ_LISTED
252,AKCA,FIRST_ADD_PRICE_BELOW_FLOOR
254,AKG,NOT_NASDAQ_LISTED
255,AKO.A,NOT_NASDAQ_LISTED
256,AKO.B,NOT_NASDAQ_LISTED
257,AKR,NOT_NASDAQ_LISTED
260,AKS,NOT_NASDAQ_LISTED
262,AKTX,NOT_COMMON_STOCK
263,AL,NOT_NASDAQ_LISTED
264,AL-A,NOT_NASDAQ_LISTED
265,ALAC,NOT_COMMON_STOCK
