imbalance_bin,spread_class,price_band,observations,mean_price_usd,mean_spread_bps,mean_half_spread_entry_bps,mean_half_spread_future_bps,mean_future_mid_move_bps,mean_signal_signed_mid_move_bps,mean_markout_bps,mean_cross_to_cross_bps,mean_spread_change_term_bps,fee_structural_floor_bps,net_structural_floor_bps,fee_accessible_fixed_bps,net_accessible_fixed_bps,fee_accessible_tiered_bps,net_accessible_tiered_bps,prob_cross_to_cross_positive,prob_net_structural_floor_positive,prob_net_accessible_fixed_positive,prob_net_accessible_tiered_positive,horizon_ms,delay_ms,share_of_signal_defined_observations,block_bootstrap_se_net_structural_floor_bps,block_bootstrap_ci_low_net_structural_floor_bps,block_bootstrap_ci_high_net_structural_floor_bps,block_cells,cost_ledger_id,representative_order_shares,label,note
"[-1.0,-0.8)",ONE_TICK,5-25,331,14.88309667673716,9.95877386872583,4.979386934362915,5.0795258879844996,-0.06134689405313973,0.06134689405313973,-4.918040040309775,-9.997565928294275,-0.10013895362158477,6.3795878568190965,-16.37715378511337,19.930872822660522,-29.92843875095479,13.765152159111357,-23.762718087405634,0.0030211480362537764,0.0,0.0,0.0,100,0,0.00013463921165690837,4.357104112372163,-23.993053603368647,-8.792938210274675,14,M2-COST-LEDGER-v1,100,AGGRESSIVE_CROSS_TO_CROSS_STATE_CONDITIONED,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; costs are M2-COST-LEDGER-v1 round trips at the declared 100-share representative size, and are 2026 rate cards applied to a 2019 tape for arithmetic validation, not a reconstruction of 2019 economics"
"[-1.0,-0.8)",ONE_TICK,25-50,4240,39.46663443396226,2.641683069658701,1.3208415348293505,1.3369549739895332,-0.07491409517263499,0.07491409517263499,-1.2459274396567157,-2.582882413646249,-0.016113439160182895,1.8427485364183418,-4.425630950064591,5.284095355668579,-7.866977769314827,3.800817627319535,-6.383700040965784,0.0014150943396226414,0.0009433962264150943,0.0,0.0,100,0,0.0017246835571761072,0.10933403100691239,-4.64444704335954,-4.2060647827593565,130,M2-COST-LEDGER-v1,100,AGGRESSIVE_CROSS_TO_CROSS_STATE_CONDITIONED,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; costs are M2-COST-LEDGER-v1 round trips at the declared 100-share representative size, and are 2026 rate cards applied to a 2019 tape for arithmetic validation, not a reconstruction of 2019 economics"
"[-1.0,-0.8)",ONE_TICK,50-100,13430,69.61794117647058,1.4953796342820254,0.7476898171410127,0.7622275923275434,-0.033146816563600384,0.033146816563600384,-0.7145430005774123,-1.4767705929049557,-0.014537775186530823,1.1324596335538557,-2.609230226458812,2.990991553039082,-4.467762145944038,2.240798472456465,-3.7175690653614204,0.0008935219657483246,0.00037230081906180194,0.0,7.44601638123604e-05,100,0,0.0054628538143573395,0.03477736132857991,-2.6770635040702997,-2.5392548344821178,382,M2-COST-LEDGER-v1,100,AGGRESSIVE_CROSS_TO_CROSS_STATE_CONDITIONED,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; costs are M2-COST-LEDGER-v1 round trips at the declared 100-share representative size, and are 2026 rate cards applied to a 2019 tape for arithmetic validation, not a reconstruction of 2019 economics"
"[-1.0,-0.8)",ONE_TICK,100-200,7045,132.01501277501774,0.7797114244340766,0.3898557122170383,0.4081166877261757,-0.025097891305852386,0.025097891305852386,-0.3647578209111859,-0.7728745086373617,-0.01826097550913736,0.6890505384206083,-1.4619250470579699,1.5594851926411888,-2.33235970127855,1.2669318119205346,-2.0398063205578962,0.004826117814052519,0.0026969481902058196,0.00014194464158978,0.0008516678495386799,100,0,0.0028656593538456785,0.01741153694270787,-1.4959417917805085,-1.4272485155157177,245,M2-COST-LEDGER-v1,100,AGGRESSIVE_CROSS_TO_CROSS_STATE_CONDITIONED,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; costs are M2-COST-LEDGER-v1 round trips at the declared 100-share representative size, and are 2026 rate cards applied to a 2019 tape for arithmetic validation, not a reconstruction of 2019 economics"
"[-1.0,-0.8)",ONE_TICK,200+,1050,212.90266666666665,0.47237554272851767,0.23618777136425884,0.28453597537236375,-0.0615497717136642,0.0615497717136642,-0.17463799965059462,-0.45917397502295837,-0.04834820400810489,0.49864358944307424,-0.9578175644660327,0.944773492955849,-1.4039474679788073,0.8487379102193007,-1.307911885242259,0.011428571428571429,0.002857142857142857,0.0019047619047619048,0.002857142857142857,100,0,0.00042710323939502655,0.03881338132123387,-1.0236852595488517,-0.8725751044970906,42,M2-COST-LEDGER-v1,100,AGGRESSIVE_CROSS_TO_CROSS_STATE_CONDITIONED,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; costs are M2-COST-LEDGER-v1 round trips at the declared 100-share representative size, and are 2026 rate cards applied to a 2019 tape for arithmetic validation, not a reconstruction of 2019 economics"
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,5-25,989,22.706830131445905,14.817843654937283,7.4089218274686415,7.393216338788665,-0.04202153293148278,0.04202153293148278,-7.3669002945371584,-14.760116633325824,0.015705488679974976,2.936645663177168,-17.696762296502996,8.81564378749691,-23.575760420822736,6.203361809428237,-20.963478442754063,0.0,0.0,0.0,0.0,100,0,0.000402290575011125,1.9401801101764604,-22.28734330208593,-14.946416467342827,13,M2-COST-LEDGER-v1,100,AGGRESSIVE_CROSS_TO_CROSS_STATE_CONDITIONED,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; costs are M2-COST-LEDGER-v1 round trips at the declared 100-share representative size, and are 2026 rate cards applied to a 2019 tape for arithmetic validation, not a reconstruction of 2019 economics"
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,25-50,3246,38.18946703635243,12.181974429803024,6.090987214901512,6.072410176606982,-0.05847587247577642,0.05847587247577642,-6.032511342425736,-12.104921519032718,0.01857703829453042,1.855220483640266,-13.960142002672983,5.32435991489997,-17.429281433932687,3.828209969345685,-15.933131488378402,0.00030807147258163895,0.00030807147258163895,0.0,0.0,100,0,0.001320359157215482,1.4112438801176375,-16.94655643644392,-11.431751105408974,61,M2-COST-LEDGER-v1,100,AGGRESSIVE_CROSS_TO_CROSS_STATE_CONDITIONED,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; costs are M2-COST-LEDGER-v1 round trips at the declared 100-share representative size, and are 2026 rate cards applied to a 2019 tape for arithmetic validation, not a reconstruction of 2019 economics"
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,50-100,33172,82.41610409381406,10.127856357672623,5.063928178836312,5.069472089477708,-0.017472443013309726,0.017472443013309726,-5.0464557358230016,-10.11592782530071,-0.005543910641397515,0.9806134832233132,-11.096541308524023,2.5007699216249013,-12.61669774692561,1.9072962846107153,-12.023224109911425,0.0005426263113469191,0.00036175087423127937,0.0001205836247437598,0.00015072953092969975,100,0,0.01349320824496364,0.6406373346755925,-12.399995023110607,-9.83974275007977,354,M2-COST-LEDGER-v1,100,AGGRESSIVE_CROSS_TO_CROSS_STATE_CONDITIONED,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; costs are M2-COST-LEDGER-v1 round trips at the declared 100-share representative size, and are 2026 rate cards applied to a 2019 tape for arithmetic validation, not a reconstruction of 2019 economics"
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,100-200,65552,138.39603932755674,5.801425186905122,2.900712593452561,2.903295682192479,-0.011628286119498484,0.011628286119498484,-2.889084307333062,-5.792379989525542,-0.002583088739918175,0.6683219122694681,-6.46070190179501,1.4925646885212853,-7.284944678046827,1.221405190683227,-7.013785180208768,0.00061020258725897,0.00044239687576275323,7.627532340737125e-05,0.000183060776177691,100,0,0.02666425861792646,0.255029839246906,-6.980099156722512,-5.989661101108906,454,M2-COST-LEDGER-v1,100,AGGRESSIVE_CROSS_TO_CROSS_STATE_CONDITIONED,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; costs are M2-COST-LEDGER-v1 round trips at the declared 100-share representative size, and are 2026 rate cards applied to a 2019 tape for arithmetic validation, not a reconstruction of 2019 economics"
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,200+,110768,557.5852324227214,6.8165101733135005,3.4082550866567503,3.407686421506064,-0.006404382319630164,0.006404382319630164,-3.4018507043371202,-6.809537125843184,0.0005686651506859651,0.389177256283275,-7.198714382126459,0.5913712874359159,-7.400908413279099,0.6083152091842405,-7.417852335027424,0.0003520872454138379,9.930665896287736e-05,0.00010833453705041167,9.027878087534306e-05,100,0,0.045056544401246006,0.3233276585999289,-7.879020487691956,-6.600383023496936,402,M2-COST-LEDGER-v1,100,AGGRESSIVE_CROSS_TO_CROSS_STATE_CONDITIONED,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; costs are M2-COST-LEDGER-v1 round trips at the declared 100-share representative size, and are 2026 rate cards applied to a 2019 tape for arithmetic validation, not a reconstruction of 2019 economics"
