imbalance_bin,spread_class,price_band,observations,realized_move_bps,required_move_bps_spread_only,mean_ratio_spread_only,required_move_bps_spread_plus_structural_floor,mean_ratio_spread_plus_structural_floor,required_move_bps_spread_plus_accessible_fixed,mean_ratio_spread_plus_accessible_fixed,required_move_bps_spread_plus_accessible_tiered,mean_ratio_spread_plus_accessible_tiered,prob_realized_exceeds_spread_only,prob_realized_exceeds_spread_plus_structural_floor,prob_realized_exceeds_spread_plus_accessible_fixed,prob_realized_exceeds_spread_plus_accessible_tiered,prob_ratio_spread_only_above_one,realized_move_bps_p05,realized_move_bps_p25,realized_move_bps_p50,realized_move_bps_p75,realized_move_bps_p95,required_move_bps_spread_only_p05,required_move_bps_spread_only_p25,required_move_bps_spread_only_p50,required_move_bps_spread_only_p75,required_move_bps_spread_only_p95,required_move_bps_spread_plus_structural_floor_p05,required_move_bps_spread_plus_structural_floor_p25,required_move_bps_spread_plus_structural_floor_p50,required_move_bps_spread_plus_structural_floor_p75,required_move_bps_spread_plus_structural_floor_p95,required_move_bps_spread_plus_accessible_fixed_p05,required_move_bps_spread_plus_accessible_fixed_p25,required_move_bps_spread_plus_accessible_fixed_p50,required_move_bps_spread_plus_accessible_fixed_p75,required_move_bps_spread_plus_accessible_fixed_p95,required_move_bps_spread_plus_accessible_tiered_p05,required_move_bps_spread_plus_accessible_tiered_p25,required_move_bps_spread_plus_accessible_tiered_p50,required_move_bps_spread_plus_accessible_tiered_p75,required_move_bps_spread_plus_accessible_tiered_p95,horizon_ms,delay_ms,quantile_levels_pct,cost_ledger_id,label,note
"[-1.0,-0.8)",ONE_TICK,5-25,331,0.06134689405313973,9.95877386872583,0.013595166163141994,16.338361725544924,0.00816389469024519,29.889646691386346,0.004531040370970897,23.723926027837187,0.005649200593766926,0.006042296072507553,0.006042296072507553,0.0,0.0,0.006042296072507553,-0.0,-0.0,0.0,-0.0,-0.0,4.348771472059143,4.35730033632378,4.499437570303712,16.01281024819856,16.142050040355127,7.249421319819039,7.263236116481844,7.493466373184001,26.14669486358317,26.356127584781618,13.048206008814255,13.073800030135121,13.500337660312713,48.064092299480606,48.45222774633251,10.473075082324478,10.49321352652088,10.828830909637645,38.0235858892242,38.328954725330895,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",ONE_TICK,25-50,4240,0.07491409517263499,2.641683069658701,0.029127358490566038,4.484431606077043,0.017108303361777114,7.92577842532728,0.009708287080934675,6.442500696978235,0.011918965308694324,0.0033018867924528303,0.0016509433962264152,0.0,0.0007075471698113207,0.0033018867924528303,-0.0,-0.0,-0.0,0.0,0.0,2.078785988982434,2.1283388315419813,2.285975540061721,3.0145452318685626,3.719546215361726,3.572727776924222,3.6529850639813173,3.908299271200267,5.088337530234295,6.2302337153617255,6.236790146986593,6.385469525454284,6.858449248337899,9.044544580910472,11.160022405837918,5.113513639710085,5.230503156786766,5.602670556065379,7.322808059015915,8.987369132028393,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",ONE_TICK,50-100,13430,0.033146816563600384,1.4953796342820254,0.021705137751303054,2.627839267835881,0.012337261143629588,4.486371187321108,0.007234677609424354,3.7361781067384903,0.00867988742888251,0.0020104244229337304,0.0007446016381236039,7.44601638123604e-05,0.0005212211466865227,0.0020104244229337304,0.0,0.0,-0.0,-0.0,-0.0,1.0518012095713911,1.2294830023974919,1.485111754659538,1.7734427060900693,1.953315753491552,1.9094263279052504,2.1971945479526376,2.6112068088701426,3.078187890595107,3.3695130576525205,3.1555142631108883,3.6886001793309724,4.455555836049706,5.320642656065979,5.860328841985399,2.688976133311793,3.108442549919931,3.711931597226002,4.3926347568582305,4.817291920711712,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",ONE_TICK,100-200,7045,0.025097891305852386,0.7797114244340766,0.03364088005677786,1.4687619628546849,0.01765895348323956,2.3391966170752654,0.011213347816541482,2.0466432363546114,0.012710510439378568,0.008232789212207239,0.00383250532292406,0.00099361249112846,0.0017033356990773599,0.008232789212207239,0.0,0.0,0.0,0.0,-0.0,0.5071894098851216,0.7117184441834811,0.7775747443723028,0.8721817626793423,0.9657636776280845,1.02740121755402,1.3586437110873955,1.4653010274205145,1.6185219284011043,1.7700831676802382,1.5215939544174812,2.135205988667467,2.3327846977160043,2.6166213614582348,2.89738430733641,1.4032979511713866,1.8861298320838369,2.041598072521603,2.264939721685012,2.485862576604325,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",ONE_TICK,200+,1050,0.0615497717136642,0.47237554272851767,0.12714285714285714,0.971019132171592,0.06209355167388226,1.4171490356843666,0.04238026848905219,1.3211134529478183,0.04558734581344735,0.015238095238095238,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.015238095238095238,0.0,0.0,-0.0,-0.0,0.24089071973124104,0.3581726033775676,0.4783659020784998,0.48028432859933845,0.4807807879997115,0.48178955941525065,0.7860645049499735,0.9807206667168465,0.9838276154355201,0.9846316462140488,0.9862653815997459,1.0745306391238336,1.4351205901764716,1.4408760536556149,1.4423654795714218,1.4453918909229027,1.0515174223180743,1.335254727183743,1.3397835244806489,1.34095550793817,1.34333689796089,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,5-25,989,0.04202153293148278,14.817843654937283,0.0015834126552023418,17.75448931811445,0.0014893824646157504,23.633487442434195,0.0012758196329501544,21.02120546436552,0.0013677298812777598,0.0020222446916076846,0.0010111223458038423,0.0,0.0,0.0020222446916076846,0.0,0.0,0.0,0.0,-0.0,8.707009142359599,8.8261253309797,9.0049527239982,17.699115044247787,32.91038594447811,11.611179874066917,11.767224668728044,12.001493264538741,20.64869343220173,35.80780594047625,17.41781053608782,17.65614740603489,18.013961733007207,26.55651096984566,41.59939319548099,14.839045727725452,15.03926881883842,15.33986263390811,23.930881208995352,39.02759577840063,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,25-50,3246,0.05847587247577642,12.181974429803024,0.0072132830970631345,14.03719491344329,0.0057274848342064545,17.506334344702996,0.004205448033107971,16.01018439914871,0.004737193113564848,0.0006161429451632779,0.00030807147258163895,0.00030807147258163895,0.00030807147258163895,0.0006161429451632779,0.0,0.0,-0.0,-0.0,-0.0,4.198152812762385,5.664117813650524,8.409250175192712,13.952839402818473,30.619345859429366,5.704803663066815,7.625075320732677,10.352490780913408,15.85822572665977,32.42684069180993,8.397187034891296,11.326631969935914,14.017775133128776,19.494342602597918,36.05449800922175,7.260793585384681,9.721864481972165,12.43078018080124,17.918838005217033,34.48493011141559,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,50-100,33172,0.017472443013309726,10.127856357672623,0.002741705992412886,11.108469840895934,0.0021550958742084445,12.628626279297524,0.0016532679533776558,12.035152642283338,0.0018137935421208317,0.0007235017484625587,0.0004823344989750392,0.00027131315567345955,0.00027131315567345955,0.0007235017484625587,-0.0,-0.0,-0.0,0.0,0.0,2.2891152569531874,4.061463480674203,7.357191654842609,12.575979878432195,28.26189354686764,3.204249872337803,5.0196179324320935,8.256852319379554,13.459321852863223,29.441950150641226,4.578492546330477,6.746451931263876,9.719222688921262,15.025983246328277,30.927626504243154,4.052599231312161,6.042843246782404,9.04205965982926,14.377522433284332,30.47358521178935,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,100-200,65552,0.011628286119498484,5.801425186905122,0.003662647541004879,6.469747099174589,0.0028140270178071054,7.293989875426407,0.0022173441542219547,7.022830377588349,0.0023801429088850996,0.0007627532340737125,0.00047290700512570173,0.0001525506468147425,0.00022882597022211374,0.0007627532340737125,-0.0,-0.0,-0.0,0.0,0.0,1.316655694535879,2.270577105014191,3.9261876717707107,7.532247434328218,15.379094683959604,1.9305166465406194,2.8823050140568482,4.574845466585742,8.207004638315784,16.019742150340015,2.629070954891721,3.7741189875005743,5.594676124395099,9.037392388296002,16.76904789100755,2.4171372630580024,3.440599583423312,5.2653383029191,8.76171241240328,16.538260306080588,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,200+,110768,0.006404382319630164,6.8165101733135005,0.002058815200730174,7.205687429596776,0.0017046867999291218,7.407881460749415,0.0015682214773004215,7.4248253824977395,0.001562354886925397,0.0005958399537772642,0.00038819875776397513,0.0002798642207135635,0.0002798642207135635,0.0005958399537772642,0.0,-0.0,-0.0,0.0,-0.0,1.4319467315815853,2.9036004645760745,4.834615849482293,8.486118386589837,16.95886329781139,1.8567805454776756,3.3299943047318226,5.2159760171942535,8.90300174357414,17.375928392468836,1.921275728190909,3.4534158971394033,5.449748150494744,9.066786693064492,17.66262256790054,1.9698548117258825,3.5497443959626525,5.482788699751044,9.080240159065886,17.659318521809144,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
