trading_day,unit,symbol,horizon_ms,bin_index,bin,observations,mean_bps,prob_positive,cells_with_data,note
2019-07-30,SYMBOL,CTXS,100,0,"[-1.0,-0.8)",661,-0.011173465158142229,0.006051437216338881,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,DISH,100,0,"[-1.0,-0.8)",1441,-0.06092462905325218,0.008327550312283136,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,DLTR,100,0,"[-1.0,-0.8)",1418,-0.015497004720993203,0.00846262341325811,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,EA,100,0,"[-1.0,-0.8)",1225,-0.022157396053781316,0.022857142857142857,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,EBAY,100,0,"[-1.0,-0.8)",186,-0.051976755101193664,0.0,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,EQIX,100,0,"[-1.0,-0.8)",4997,-0.001810632629682714,0.026415849509705824,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,EXAS,100,0,"[-1.0,-0.8)",3685,0.0006690694810253956,0.02469470827679783,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,EXPE,100,0,"[-1.0,-0.8)",1719,-0.016376109664838212,0.008726003490401396,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,FANG,100,0,"[-1.0,-0.8)",984,-0.028092334486120116,0.003048780487804878,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,FB,100,0,"[-1.0,-0.8)",1841,-0.00652471867869044,0.060293318848451925,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,FISV,100,0,"[-1.0,-0.8)",511,-0.0329491497252552,0.015655577299412915,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,GHDX,100,0,"[-1.0,-0.8)",2596,-0.011525577292971325,0.007318952234206471,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,GILD,100,0,"[-1.0,-0.8)",986,-0.033994660295289136,0.006085192697768763,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,GOOG,100,0,"[-1.0,-0.8)",4043,-0.001104391373246134,0.04798417017066535,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,GOOGL,100,0,"[-1.0,-0.8)",4952,-0.0005412002753087218,0.03291599353796446,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,GRMN,100,0,"[-1.0,-0.8)",984,-0.01118856153594769,0.003048780487804878,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,HAS,100,0,"[-1.0,-0.8)",1057,-0.019287370180564888,0.00946073793755913,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ILMN,100,0,"[-1.0,-0.8)",3182,-0.012645474128720148,0.02545568824638592,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,INCY,100,0,"[-1.0,-0.8)",2288,-0.013364360179309245,0.013111888111888112,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,INTC,100,0,"[-1.0,-0.8)",940,-0.03369527757167816,0.0031914893617021275,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,INTU,100,0,"[-1.0,-0.8)",3233,-0.01778720604112338,0.011135168574079802,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,IPGP,100,0,"[-1.0,-0.8)",987,-0.18824903200462598,0.008105369807497468,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ISRG,100,0,"[-1.0,-0.8)",3108,-0.011443930214206224,0.01287001287001287,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,LGND,100,0,"[-1.0,-0.8)",4257,-0.014324008914431356,0.012919896640826873,12,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,LRCX,100,0,"[-1.0,-0.8)",4791,-0.00893778181466696,0.012106032143602587,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,LULU,100,0,"[-1.0,-0.8)",1490,-0.0035687507198960988,0.006711409395973154,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,LYFT,100,0,"[-1.0,-0.8)",4633,-0.0008531069359304888,0.005827757392618174,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,MAR,100,0,"[-1.0,-0.8)",2554,-0.0028831892608195985,0.00822239624119029,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,MCHP,100,0,"[-1.0,-0.8)",1150,-0.019731265721113785,0.00608695652173913,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,MDB,100,0,"[-1.0,-0.8)",4275,-0.003096999320370412,0.008888888888888889,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,MDLZ,100,0,"[-1.0,-0.8)",440,-0.05989093401215293,0.006818181818181818,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,MEDP,100,0,"[-1.0,-0.8)",1635,-0.015826605948468596,0.009174311926605505,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,MELI,100,0,"[-1.0,-0.8)",3946,-0.0036696559257212475,0.007856056766345666,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,MRVL,100,0,"[-1.0,-0.8)",482,-0.0501819752558633,0.0,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,MSFT,100,0,"[-1.0,-0.8)",911,-0.05468207780930135,0.006586169045005488,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,MU,100,0,"[-1.0,-0.8)",921,-0.11894846182563276,0.0010857763300760044,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,MXIM,100,0,"[-1.0,-0.8)",506,-0.07237417047674005,0.001976284584980237,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,NBIX,100,0,"[-1.0,-0.8)",1311,-0.0035986306556393226,0.013729977116704805,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,NFLX,100,0,"[-1.0,-0.8)",3726,-0.01744352300689864,0.02308105206655931,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,NVDA,100,0,"[-1.0,-0.8)",1516,-0.008634346829712548,0.03562005277044855,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,NXPI,100,0,"[-1.0,-0.8)",937,-0.035886335271145264,0.0096051227321238,13,recomputed from symbol x 30-minute cell means and counts
