horizon_ms,bin_index,bin,bin_midpoint,observations,observations_total_at_horizon,coverage_fraction,mean_bps,median_bps,std_bps,prob_positive,prob_negative,prob_zero,block_bootstrap_se_bps,block_bootstrap_ci_low_bps,block_bootstrap_ci_high_bps,symbol_dispersion_std_bps,day_dispersion_std_bps,symbols_with_observations
100,0,"[-1.0,-0.8)",-0.9,237981,2691000,0.08843589743589744,-0.01378689249053469,0.0,0.554447939263591,0.014459137494169702,0.02563650039288851,0.9599043621129418,0.0013138846215959101,-0.016388639105224978,-0.011318744856432748,0.029748892689418337,UNKNOWN_SINGLE_SAMPLE_DAY,115
100,1,"[-0.8,-0.6)",-0.7,150157,2691000,0.05579970271274619,-0.017521914027614563,0.0,0.5651805120865875,0.012180584321743243,0.02381507355634436,0.9640043421219124,0.0016355994068630495,-0.020939939433180604,-0.014552954138646252,0.027944849998101345,UNKNOWN_SINGLE_SAMPLE_DAY,115
100,2,"[-0.6,-0.4)",-0.5,235402,2691000,0.08747751765143069,-0.013501516649381528,0.0,0.5652240225383341,0.011563198273591558,0.020730495068011317,0.9677063066583971,0.0012160626912519528,-0.015949913248409907,-0.011291904726384408,0.017155564337110588,UNKNOWN_SINGLE_SAMPLE_DAY,115
100,3,"[-0.4,-0.2)",-0.30000000000000004,316837,2691000,0.11773950204384986,-0.00736944767791397,0.0,0.5134629766732567,0.012545883214397308,0.01874781038830692,0.9687063063972958,0.0009142051640271684,-0.009232910036095408,-0.005567025733668015,0.011069962920860594,UNKNOWN_SINGLE_SAMPLE_DAY,115
100,4,"[-0.2,0.0)",-0.1,286277,2691000,0.10638312894834634,-0.003148895356360432,0.0,0.41968356646154864,0.012348180258979938,0.015219525145226476,0.9724322945957936,0.0008399506555524713,-0.004812112126720175,-0.001442415977374671,0.011827087295210585,UNKNOWN_SINGLE_SAMPLE_DAY,115
100,5,"[0.0,0.2)",0.1,502827,2691000,0.18685507246376812,0.002422043201192616,0.0,0.5669839396084999,0.018978694461514598,0.017101309197795664,0.9639199963406897,0.000883482040591868,0.0008204026289447987,0.0041804968495640395,0.009247650902314098,UNKNOWN_SINGLE_SAMPLE_DAY,115
100,6,"[0.2,0.4)",0.30000000000000004,349323,2691000,0.12981159420289856,0.007476460313660997,0.0,0.5359214844575179,0.018850748447711715,0.012673084795447194,0.9684761667568411,0.0008339462362369314,0.005870470670013218,0.009101765978482732,0.008642224131195296,UNKNOWN_SINGLE_SAMPLE_DAY,115
100,7,"[0.4,0.6)",0.5,217698,2691000,0.08089855072463768,0.014613929056023373,0.0,0.6018681968503253,0.02095563578902884,0.01078558369851813,0.9682587805124531,0.0013064226975679184,0.012169177901287366,0.017368849831855795,0.016456367023737522,UNKNOWN_SINGLE_SAMPLE_DAY,115
100,8,"[0.6,0.8)",0.7,167147,2691000,0.062113340765514675,0.017932336394928135,0.0,0.6342046336807537,0.024750668573172117,0.011953549869276745,0.9632957815575511,0.0016881926693673788,0.014665759625729744,0.021317212815225115,0.020314934066147754,UNKNOWN_SINGLE_SAMPLE_DAY,115
100,9,"[0.8,1.0]",0.9,227351,2691000,0.08448569305091044,0.015645663943597465,0.0,0.5531708784395772,0.02580591244375437,0.013208650940616053,0.9609854366156296,0.0012736094010380647,0.013224890926833061,0.01813639627458373,0.037307818510960065,UNKNOWN_SINGLE_SAMPLE_DAY,115
250,0,"[-1.0,-0.8)",-0.9,237981,2691000,0.08843589743589744,-0.027203051495884284,0.0,0.8038236682503674,0.02632983305389926,0.046079308852387375,0.9275908580937133,0.0018797900150797186,-0.031149532853665538,-0.023720044244058526,0.053070812755112634,UNKNOWN_SINGLE_SAMPLE_DAY,115
250,1,"[-0.8,-0.6)",-0.7,150157,2691000,0.05579970271274619,-0.03589444160964807,0.0,0.8234193777492883,0.023415491785264756,0.04669778964683631,0.929886718567899,0.002478741738745679,-0.0407587312657632,-0.03115505907152745,0.041471335645316396,UNKNOWN_SINGLE_SAMPLE_DAY,115
250,2,"[-0.6,-0.4)",-0.5,235402,2691000,0.08747751765143069,-0.027801500479917546,0.0,0.8073149508810576,0.022442460132029465,0.04050517837571473,0.9370523614922558,0.0017330855015222492,-0.03141548358306734,-0.024577133169167594,0.025049138680100794,UNKNOWN_SINGLE_SAMPLE_DAY,115
250,3,"[-0.4,-0.2)",-0.30000000000000004,316837,2691000,0.11773950204384986,-0.013532019902550721,0.0,0.753586448313301,0.024706710390516258,0.036321515479568356,0.9389717741299154,0.001415783931557093,-0.016495015689603345,-0.01085335109537787,0.018518070974488928,UNKNOWN_SINGLE_SAMPLE_DAY,115
