horizon_ms,observations_valid_state,observations_defined_signal,coverage_fraction,mean_signed_mid_move_bps,block_bootstrap_se_bps,ci_low_bps,ci_high_bps,hurdle_bps,required_over_signal,signal_sign_ok
100,2691000,2458422,0.913571906354515,0.010380969564053816,0.00041282798272611196,0.009606906223044895,0.01121860415760346,6.776577977923858,652.7885411964904,True
250,2691000,2458422,0.913571906354515,0.02111168409439979,0.0007008696692701831,0.019803559973623364,0.022536889820729638,6.7767805980308085,320.996684477126,True
500,2691000,2458422,0.913571906354515,0.034815111292804714,0.001063033614887663,0.03286557161663236,0.03698358509232392,6.7759516121917605,194.6267399579491,True
1000,2691000,2458422,0.913571906354515,0.0577543429029328,0.0015755102778289257,0.054817221661088766,0.061036247513929026,6.774441323672881,117.29752228431762,True
2000,2690885,2458313,0.9135704424380826,0.09087769625813012,0.0025081648285485794,0.08602741073269189,0.0958732427238152,6.77302192071833,74.52897905202346,True
5000,2690540,2457990,0.9135675366283348,0.14963032826631384,0.004693940854186998,0.1403412572182798,0.1590666651461743,6.771531923933704,45.25507630967467,True
10000,2689965,2457430,0.913554637327995,0.1981510715026565,0.007819852895868415,0.1829629533484162,0.2133766499711032,6.768961884494249,34.160612068168916,True
15000,2689390,2456880,0.9135454508271392,0.22320885166027785,0.01067329919298441,0.20255864229390838,0.2443234917538163,6.767085897118184,30.31728288006085,True
