horizon_ms,observations,oracle_net_floor_bps_per_observation,oracle_trade_coverage,oracle_net_floor_bps_per_trade,oracle_gross_bps_per_trade,oracle_net_accessible_fixed_bps_per_observation,oracle_net_accessible_fixed_bps_per_trade,oracle_net_accessible_tiered_bps_per_observation,oracle_net_accessible_tiered_bps_per_trade
100,2691000,0.0008869260464158857,0.0007409884801189149,1.1969498449875369,2.0736888071852997,0.0004860159704369273,0.6559021948073077,0.0005891776403457872,0.7951238867454932
250,2691000,0.002199437579167575,0.001822742474916388,1.2066639195800088,2.0821219133451185,0.001196215839839565,0.6562725433248255,0.0014567480933223515,0.7992067521162992
500,2691000,0.004931441959235781,0.003765514678558157,1.3096329134810507,2.1811280465850835,0.0028062355682823745,0.745246216742117,0.0033681546847656595,0.8944739225011732
1000,2691000,0.011423213840381322,0.008205871423262727,1.3920780927663317,2.2675576204836227,0.006507452956587936,0.7930239972003504,0.00785048267272037,0.956690918951658
2000,2690885,0.02782796908750922,0.018221886108101982,1.5271728141872256,2.404135771432198,0.016268686318917945,0.8928102295450312,0.019524774674943818,1.071501301188714
5000,2690540,0.09223988451079863,0.050308488258862534,1.8334855151317195,2.7200599565497394,0.056557512426258304,1.1242141114485769,0.0671476551410768,1.3347182049193818
10000,2689965,0.23112155950206556,0.1016518802289249,2.2736574963647374,3.1702073706497105,0.15109052576957951,1.486352494703653,0.1759152015803926,1.730565152205971
15000,2689390,0.39022857816979617,0.14728321292188934,2.6495115799568505,3.550378226967269,0.26730046118378553,1.8148739145549906,0.30631843445194495,2.0797919082224183
