dimension,state,horizon_ms,observations,mean_signed_mid_move_bps,block_bootstrap_se_bps,ci_low_bps,ci_high_bps,hurdle_bps,required_over_signal,mean_abs_deviation_over_half_spread,mean_abs_microprice_adjustment_bps,mean_price_usd,mean_spread_bps,eligible_for_best
imbalance_x_spread,"[-1.0,-0.8)|ONE_TICK",100,25896,0.038848226247123814,0.0031730561637646005,0.03305828218104334,0.04560873158979224,2.718062680136767,69.96619775756179,0.35882490571124837,0.27634456596361945,86.88882954896509,1.5400189848286558,True
imbalance_x_spread,"[-1.0,-0.8)|WIDER_THAN_ONE_TICK",100,210763,0.010183905190932258,0.0012940332608791347,0.007664152148418065,0.012787775452878646,7.438200442278911,730.3878328425405,0.08848321609786851,0.202217199735232,346.4454811091131,6.839430972349033,True
imbalance_x_spread,"[-0.8,-0.6)|ONE_TICK",100,51592,0.025455353232410577,0.0014960348235783976,0.022674601333525786,0.02865020684176304,3.2206274757417424,126.52063581035425,0.31714104262046805,0.2932293605367338,72.60813265622578,1.8551360696602963,True
imbalance_x_spread,"[-0.8,-0.6)|WIDER_THAN_ONE_TICK",100,115177,0.01332483689454031,0.0016629818887101532,0.010088187427909887,0.016652156149098582,7.992904685294433,599.8500956187636,0.09236213144345576,0.22420682371284434,242.62211105515857,7.273206821727719,True
imbalance_x_spread,"[-0.6,-0.4)|ONE_TICK",100,75024,0.017329425193466308,0.0012010368519004208,0.015006210193594922,0.019742811942694474,3.7854527598964083,218.44075713045768,0.22748742555541937,0.2511144415964072,68.97959639582001,2.2055891049160494,True
imbalance_x_spread,"[-0.6,-0.4)|WIDER_THAN_ONE_TICK",100,138181,0.003266395335350207,0.001233272906106808,0.0007899373617567823,0.0055495002252544945,7.599030034576794,2326.426918486296,0.024472888065249672,0.05525778426206363,205.6795246452117,6.848371867251008,True
imbalance_x_spread,"[-0.4,-0.2)|ONE_TICK",100,105195,0.00914522888575892,0.0009506924789380825,0.007302314597506485,0.011038926496219575,4.213745890362718,460.7589315697088,0.11566982327901136,0.14228319708501655,68.14033960739579,2.469468554937157,True
imbalance_x_spread,"[-0.4,-0.2)|WIDER_THAN_ONE_TICK",100,231685,0.006410660973114556,0.0011862533249320886,0.004021223302190308,0.008774002192448402,7.717917962321775,1203.919220606062,0.030746269311251993,0.07649925160109539,188.86702218529467,6.955785547937681,True
imbalance_x_spread,"[-0.2,0.0)|ONE_TICK",100,92724,0.0004639653481051165,0.000774883956350886,-0.001055394785490059,0.0019691888450602962,4.926672422859872,10618.621504776,0.022385454546371357,0.036778685178393535,64.35512628877098,2.912496604958956,True
imbalance_x_spread,"[-0.2,0.0)|WIDER_THAN_ONE_TICK",100,164139,0.002350717386908799,0.0011231762034989922,6.149126401231853e-05,0.004538351308031468,7.161664482615686,3046.5867664480497,0.024420839700745163,0.06112364255915181,230.2605863932399,6.456536616349528,True
imbalance_x_spread,"[0.0,0.2)|ONE_TICK",100,90809,0.0013239210200968693,0.0007065621716429248,-6.350348604241808e-05,0.002719060875688251,4.073625320933193,3076.939831830098,0.06732454827457116,0.08010269301196916,66.80631716019337,2.385879833183709,True
imbalance_x_spread,"[0.0,0.2)|WIDER_THAN_ONE_TICK",100,177145,0.002980928245751394,0.001162103850060355,0.0008266287833178827,0.005448817714710698,7.323827883709824,2456.895060841603,0.033828852750234735,0.06767706327475961,228.5892350052217,6.638841516688632,True
imbalance_x_spread,"[0.2,0.4)|ONE_TICK",100,106062,0.008330138047339038,0.0008349631494063203,0.006648400477661098,0.009995014462245011,3.3014068707026123,396.32078747568977,0.16630161668845417,0.15646996646541447,70.55134147951198,1.90690288685552,True
imbalance_x_spread,"[0.2,0.4)|WIDER_THAN_ONE_TICK",100,238559,0.0035712415236510186,0.0010987431716171967,0.0014393519816041727,0.005796777461755459,7.849189098290402,2197.8880583427667,0.078532079626327,0.1718373813175936,199.65353881010566,7.0884543975601035,True
imbalance_x_spread,"[0.4,0.6)|ONE_TICK",100,76833,0.015522021797775107,0.0009883764993144028,0.013592932409986574,0.017508696311569094,3.1493231824018544,202.89387706266922,0.2952207320403328,0.26644595091354994,70.8560171410722,1.8135560543345173,True
imbalance_x_spread,"[0.4,0.6)|WIDER_THAN_ONE_TICK",100,137952,0.013085214078503975,0.001542059017447126,0.01019708677477885,0.016266678945004713,8.025261595986354,613.3076270544194,0.12365082213664723,0.28153094887522695,212.39285671827884,7.276123484186565,True
imbalance_x_spread,"[0.6,0.8)|ONE_TICK",100,54395,0.027887764887337643,0.001691745715406169,0.02471864444293807,0.03143831331082303,3.052382018976265,109.45237208171496,0.4173808471710159,0.3633406376369816,72.99570852100376,1.750910367458686,True
imbalance_x_spread,"[0.6,0.8)|WIDER_THAN_ONE_TICK",100,110108,0.010727838032645397,0.0015445108735499006,0.007528207206254328,0.013640152987191944,8.3265115392318,776.1593262215342,0.12694529413780328,0.3096064780085985,252.65697578740873,7.611299756558638,True
imbalance_x_spread,"[0.8,1.0]|ONE_TICK",100,29288,0.03755087560669807,0.003247200356944446,0.031627825194609674,0.04451601024243371,2.724676182515508,72.55959118113077,0.5174128671305434,0.39746424217990234,85.51685468451241,1.5444846550171105,True
imbalance_x_spread,"[0.8,1.0]|WIDER_THAN_ONE_TICK",100,194380,0.011802346744828643,0.001242368261609005,0.009354298741566576,0.014394107107871208,7.4039462234228015,627.3283088100203,0.1530864673425523,0.35849201230277766,371.5268433995267,6.8061780593946875,True
imbalance_x_spread,"[-1.0,-0.8)|ONE_TICK",250,25896,0.07296452908579262,0.005249331272247791,0.06350314324589396,0.08390128205536065,2.732109131060806,37.444346798269024,0.35882490571124837,0.27634456596361945,86.88882954896509,1.5400189848286558,True
imbalance_x_spread,"[-1.0,-0.8)|WIDER_THAN_ONE_TICK",250,210763,0.020202730573681327,0.0016907082884516653,0.01692952689087904,0.023567850244176555,7.439248472654556,368.229851183873,0.08848321609786851,0.202217199735232,346.4454811091131,6.839430972349033,True
imbalance_x_spread,"[-0.8,-0.6)|ONE_TICK",250,51592,0.05610902996737388,0.0027106121046880003,0.05093829175704726,0.06190020436891072,3.230271242798062,57.571325768354775,0.31714104262046805,0.2932293605367338,72.60813265622578,1.8551360696602963,True
imbalance_x_spread,"[-0.8,-0.6)|WIDER_THAN_ONE_TICK",250,115177,0.026235217585976654,0.0023578784505788423,0.021819951406414503,0.03096428643872633,7.990428169099573,304.56877831921037,0.09236213144345576,0.22420682371284434,242.62211105515857,7.273206821727719,True
imbalance_x_spread,"[-0.6,-0.4)|ONE_TICK",250,75024,0.03522022616451452,0.0019566233809110976,0.03157744426740574,0.03923440028625906,3.7914612158631296,107.65010985883859,0.22748742555541937,0.2511144415964072,68.97959639582001,2.2055891049160494,True
imbalance_x_spread,"[-0.6,-0.4)|WIDER_THAN_ONE_TICK",250,138181,0.009281719267979504,0.0024272274395946633,0.004655524075694743,0.014354270859917202,7.595109357917143,818.2869076981348,0.024472888065249672,0.05525778426206363,205.6795246452117,6.848371867251008,True
imbalance_x_spread,"[-0.4,-0.2)|ONE_TICK",250,105195,0.017138454051216806,0.0013135454647403072,0.014615665667447797,0.019709534519478312,4.221429586338032,246.3133240444354,0.11566982327901136,0.14228319708501655,68.14033960739579,2.469468554937157,True
imbalance_x_spread,"[-0.4,-0.2)|WIDER_THAN_ONE_TICK",250,231685,0.010468373977725992,0.0015886783085266006,0.0074317320721982135,0.01366577359710606,7.714268566442091,736.9118244013895,0.030746269311251993,0.07649925160109539,188.86702218529467,6.955785547937681,True
imbalance_x_spread,"[-0.2,0.0)|ONE_TICK",250,92724,0.0008024389854687683,0.0012074099854685898,-0.0015781333493178722,0.0031932355762402265,4.931166225939194,6145.222646502535,0.022385454546371357,0.036778685178393535,64.35512628877098,2.912496604958956,True
imbalance_x_spread,"[-0.2,0.0)|WIDER_THAN_ONE_TICK",250,164139,0.0035914695080484123,0.0015304465177332735,0.0006818478897131893,0.006529843045008045,7.155372068542229,1992.3243264371815,0.024420839700745163,0.06112364255915181,230.2605863932399,6.456536616349528,True
imbalance_x_spread,"[0.0,0.2)|ONE_TICK",250,90809,0.0048750881646955554,0.0011856989251215779,0.0025575337161349593,0.0071612512840736175,4.078343749457471,836.5682038310705,0.06732454827457116,0.08010269301196916,66.80631716019337,2.385879833183709,True
imbalance_x_spread,"[0.0,0.2)|WIDER_THAN_ONE_TICK",250,177145,0.003563378917252854,0.0016219677181924142,0.00029003528646235434,0.006678946401196245,7.319286079893004,2054.029686389828,0.033828852750234735,0.06767706327475961,228.5892350052217,6.638841516688632,True
imbalance_x_spread,"[0.2,0.4)|ONE_TICK",250,106062,0.01826260547144159,0.00116979277385233,0.015969027000579332,0.020479472522801533,3.308905039675782,181.18471895207557,0.16630161668845417,0.15646996646541447,70.55134147951198,1.90690288685552,True
imbalance_x_spread,"[0.2,0.4)|WIDER_THAN_ONE_TICK",250,238559,0.007931409075833928,0.0018837543373761228,0.00432370481629112,0.011578844698013723,7.845401389108879,989.1560647165327,0.078532079626327,0.1718373813175936,199.65353881010566,7.0884543975601035,True
imbalance_x_spread,"[0.4,0.6)|ONE_TICK",250,76833,0.03278636419457531,0.0015839020555002729,0.029564233921753225,0.03592133991590174,3.1564404795895076,96.27296460373482,0.2952207320403328,0.26644595091354994,70.8560171410722,1.8135560543345173,True
imbalance_x_spread,"[0.4,0.6)|WIDER_THAN_ONE_TICK",250,137952,0.026472445685220933,0.0024775565891514847,0.02188617687546962,0.03184219486297153,8.020400519000667,302.9716488748263,0.12365082213664723,0.28153094887522695,212.39285671827884,7.276123484186565,True
imbalance_x_spread,"[0.6,0.8)|ONE_TICK",250,54395,0.05838540663719457,0.0029259368634460122,0.052726350708278004,0.06427710973371639,3.063218383687935,52.46547999096241,0.4173808471710159,0.3633406376369816,72.99570852100376,1.750910367458686,True
imbalance_x_spread,"[0.6,0.8)|WIDER_THAN_ONE_TICK",250,110108,0.02487956892120869,0.0024756860647857093,0.02008449752128013,0.02977506134071449,8.324895354336025,334.6077008287484,0.12694529413780328,0.3096064780085985,252.65697578740873,7.611299756558638,True
imbalance_x_spread,"[0.8,1.0]|ONE_TICK",250,29288,0.06989075786356796,0.005308579110965008,0.06047975775172401,0.0809537677384475,2.7422805642933095,39.23666945558736,0.5174128671305434,0.39746424217990234,85.51685468451241,1.5444846550171105,True
imbalance_x_spread,"[0.8,1.0]|WIDER_THAN_ONE_TICK",250,194380,0.023733007346592054,0.0018112087652548796,0.020360615327937384,0.027377639038877234,7.406042501075467,312.0566387950383,0.1530864673425523,0.35849201230277766,371.5268433995267,6.8061780593946875,True
imbalance_x_spread,"[-1.0,-0.8)|ONE_TICK",500,25896,0.11748524752436318,0.007460494552040026,0.10309810874953282,0.13207710132232517,2.750883964631711,23.414718210141693,0.35882490571124837,0.27634456596361945,86.88882954896509,1.5400189848286558,True
imbalance_x_spread,"[-1.0,-0.8)|WIDER_THAN_ONE_TICK",500,210763,0.03559883357446308,0.0024650097196644827,0.031122967220639786,0.040386431823622455,7.441236147916237,209.03033613028907,0.08848321609786851,0.202217199735232,346.4454811091131,6.839430972349033,True
imbalance_x_spread,"[-0.8,-0.6)|ONE_TICK",500,51592,0.09075335087246321,0.0038927317585736323,0.08324365526681898,0.0990008699642892,3.24161693901198,35.71897795341423,0.31714104262046805,0.2932293605367338,72.60813265622578,1.8551360696602963,True
imbalance_x_spread,"[-0.8,-0.6)|WIDER_THAN_ONE_TICK",500,115177,0.0455296709817642,0.004057038060675316,0.03808103246277653,0.05390424090164372,7.987336410043927,175.4314546494979,0.09236213144345576,0.22420682371284434,242.62211105515857,7.273206821727719,True
imbalance_x_spread,"[-0.6,-0.4)|ONE_TICK",500,75024,0.062090155830351774,0.0030316910004620145,0.05655940291920669,0.06838865893127156,3.8016995233773954,61.2286999853042,0.22748742555541937,0.2511144415964072,68.97959639582001,2.2055891049160494,True
imbalance_x_spread,"[-0.6,-0.4)|WIDER_THAN_ONE_TICK",500,138181,0.015109440998579374,0.0030209965769707496,0.009246072800180586,0.02126697117641923,7.5869345726693735,502.13204931821866,0.024472888065249672,0.05525778426206363,205.6795246452117,6.848371867251008,True
imbalance_x_spread,"[-0.4,-0.2)|ONE_TICK",500,105195,0.031333688449744004,0.001862606032022742,0.027743008421588153,0.03509910504415609,4.231662784180607,135.0515369733045,0.11566982327901136,0.14228319708501655,68.14033960739579,2.469468554937157,True
imbalance_x_spread,"[-0.4,-0.2)|WIDER_THAN_ONE_TICK",500,231685,0.016975798726012115,0.0021479929785615877,0.012989348241439554,0.02120895080356781,7.707375224657153,454.02135999922626,0.030746269311251993,0.07649925160109539,188.86702218529467,6.955785547937681,True
