dimension,state,horizon_ms,observations,mean_signed_mid_move_bps,block_bootstrap_se_bps,ci_low_bps,ci_high_bps,hurdle_bps,required_over_signal,mean_abs_deviation_over_half_spread,mean_abs_microprice_adjustment_bps,mean_price_usd,mean_spread_bps,eligible_for_best
strength_band,abs_dev_over_half_spread_lt_0.02,100,1380069,0.007718774778580881,0.0005163474357965569,0.006716207052700756,0.008750734181291617,7.290959404012906,944.5747042969649,0.07482066960895103,0.12798224045679746,235.43129421065177,6.379085175219249,True
strength_band,0.02_to_0.05,100,219066,0.005346591949151354,0.001137617331601372,0.0030675895419686305,0.007605968202662005,8.599638195403443,1608.4336110161603,0.033262600491370996,0.12931683059530535,282.7877655820621,7.9181881948510675,True
strength_band,0.05_to_0.10,100,289321,0.005955727100081966,0.000697354917343351,0.004593721135228668,0.007353727206176829,5.662502747856813,950.765985865753,0.071631172452471,0.1637556664272327,133.78013704501228,4.62345648355799,True
strength_band,0.10_to_0.20,100,257743,0.010652922814561882,0.0008109061363346521,0.009022335943163092,0.012241859275762764,4.565915177062772,428.6068017710079,0.15634511394100672,0.25966644388173504,107.9292780017304,3.5063439249037462,True
strength_band,gte_0.20,100,279708,0.020768416463116605,0.0010134368733787386,0.018947979070321738,0.022878035896938112,3.583830635492483,172.56157405438876,0.35398078269259825,0.4126401675162303,88.61565659544954,2.4265981367042206,True
strength_band,abs_dev_over_half_spread_lt_0.02,250,1380069,0.015168164840733097,0.0008172189339994368,0.013609194172581966,0.016799978413897673,7.289796048901298,480.5984194821667,0.07482066960895103,0.12798224045679746,235.43129421065177,6.379085175219249,True
strength_band,0.02_to_0.05,250,219066,0.010135708520138198,0.0014774002387869696,0.007322084609808571,0.013015280226586072,8.596926498049003,848.182096097983,0.033262600491370996,0.12931683059530535,282.7877655820621,7.9181881948510675,True
strength_band,0.05_to_0.10,250,289321,0.013055312414107196,0.0010342385261382274,0.011028880651284923,0.01517511422356064,5.66298996258405,433.7690116450056,0.071631172452471,0.1637556664272327,133.78013704501228,4.62345648355799,True
strength_band,0.10_to_0.20,250,257743,0.021430369216299164,0.0012882801551083426,0.018892264898682856,0.024022923056169827,4.568506942956182,213.1791056348922,0.15634511394100672,0.25966644388173504,107.9292780017304,3.5063439249037462,True
strength_band,gte_0.20,250,279708,0.04317475102268205,0.0015782018167048706,0.04028880602678362,0.0463519549989045,3.591587175199718,83.1872122044864,0.35398078269259825,0.4126401675162303,88.61565659544954,2.4265981367042206,True
strength_band,abs_dev_over_half_spread_lt_0.02,500,1380069,0.026686549099150126,0.001119283914454197,0.02450263771285445,0.02889072181407216,7.287778432217477,273.08807913457673,0.07482066960895103,0.12798224045679746,235.43129421065177,6.379085175219249,True
strength_band,0.02_to_0.05,500,219066,0.016885382174915715,0.0021214673351944422,0.01273094548152593,0.020977276430109812,8.591420628763151,508.808183301071,0.033262600491370996,0.12931683059530535,282.7877655820621,7.9181881948510675,True
strength_band,0.05_to_0.10,500,289321,0.02046005529472427,0.0015143846437243383,0.017548533038957943,0.023531938078951813,5.661990258201671,276.7338688308259,0.071631172452471,0.1637556664272327,133.78013704501228,4.62345648355799,True
strength_band,0.10_to_0.20,500,257743,0.03647317844052474,0.0017696749558951852,0.03317711145103845,0.04007189332099505,4.571968747146649,125.35153070363648,0.15634511394100672,0.25966644388173504,107.9292780017304,3.5063439249037462,True
strength_band,gte_0.20,500,279708,0.06786382828255988,0.002199906432573324,0.06355850636054827,0.07219009469502137,3.5995549249345937,53.04084688454913,0.35398078269259825,0.4126401675162303,88.61565659544954,2.4265981367042206,True
strength_band,abs_dev_over_half_spread_lt_0.02,1000,1380069,0.044986512628363465,0.0015365793409146265,0.04213074002394126,0.0479945006122804,7.284260413983078,161.92098449948392,0.07482066960895103,0.12798224045679746,235.43129421065177,6.379085175219249,True
strength_band,0.02_to_0.05,1000,219066,0.030691540120112906,0.003240806541827459,0.02409426100592703,0.036856429237591644,8.58429544545313,279.6958188431748,0.033262600491370996,0.12931683059530535,282.7877655820621,7.9181881948510675,True
strength_band,0.05_to_0.10,1000,289321,0.03533755352752912,0.0022174743525013307,0.031097244964125324,0.039750131185298736,5.663606927430916,160.27161934169493,0.071631172452471,0.1637556664272327,133.78013704501228,4.62345648355799,True
strength_band,0.10_to_0.20,1000,257743,0.058468534034411324,0.002372487722947411,0.05404054255772421,0.06329752529338305,4.579224200692713,78.31946321755967,0.15634511394100672,0.25966644388173504,107.9292780017304,3.5063439249037462,True
strength_band,gte_0.20,1000,279708,0.11018864770844926,0.003454963909755424,0.10344448703983913,0.1170618833695173,3.614721198089414,32.80484217987401,0.35398078269259825,0.4126401675162303,88.61565659544954,2.4265981367042206,True
strength_band,abs_dev_over_half_spread_lt_0.02,2000,1380013,0.07122836132297077,0.002562516529759524,0.0662636747742954,0.07625381574997436,7.277498864269808,102.17136445511423,0.07481872013746833,0.12798264129500403,235.43026015696955,6.379185600474666,True
strength_band,0.02_to_0.05,2000,219058,0.052578747665219895,0.006208054846533688,0.040422470858868784,0.06404717493801225,8.568506414275312,162.96520542544718,0.03326275570692506,0.1293190660537447,282.78674675200176,7.918298076972497,True
strength_band,0.05_to_0.10,2000,289302,0.05854822338545601,0.004093125983790582,0.05070692412426755,0.06643276327049027,5.667070030074987,96.7932022935259,0.07163079839868257,0.16375178265887969,133.78178095899787,4.62339827268119,True
