subset,attempts,filled_attempts,fill_rate,filled_shares,shares_per_attempt,partial_fill_attempts,complete_fill_attempts,partial_fill_share_of_fills,median_time_to_first_fill_ms,p90_time_to_first_fill_ms,median_queue_ahead_shares,median_queue_ahead_orders,queue_ahead_zero_share,filled_share_of_attempts,gross_bps_per_filled_share,net_floor_bps_per_filled_share,net_fixed_bps_per_filled_share,ev_per_attempt_usd_floor,ev_per_attempt_usd_fixed,ev_per_attempt_bps_floor,ev_per_attempt_bps_fixed,rebate_sensitivity_ev_per_attempt_usd
"qp[0,0.25)",329,6,0.0182370820668693,386.0,1.1732522796352585,3,3,0.5,501.82754,817.376063,25.0,1.0,0.0,1.1732522796352585,-2.0317123748430053,-0.1736950381031717,-0.2070894933061836,-0.009979340342118346,-0.012158640472215857,-0.00928454063328059,-0.011312109582362943,-0.00786748623877488
"qp[0.25,0.5)",612,15,0.024509803921568627,1057.0,1.727124183006536,7,8,0.4666666666666667,493.760223,755.9890874,66.0,1.0,0.0,1.727124183006536,-7.835591038605791,-5.762440531390857,-5.844592949358872,-0.11372349591003184,-0.11602244776479313,-0.10035339070918863,-0.10238206219748855,-0.11061467238062007
"qp[0.5,0.75)",87946,1162,0.013212653219020763,97429.0,1.107827530530098,276,886,0.23752151462994836,539.975895,915.4437702,200.0,2.0,0.0,1.107827530530098,-1.2404307205413678,-0.14189264680666133,-0.20211567565025484,-0.0018665049403354045,-0.0026152519622830214,-0.002058145704974994,-0.002883769272334739,0.00012758461461877192
"qp[0.75,0.9)",367615,3093,0.00841369367408838,271095.0,0.7374427050038763,603,2490,0.19495635305528614,540.697861,917.9101363999999,500.0,4.0,0.0,0.7374427050038763,-1.349160933807629,-0.16933798718287993,-0.24285870599198042,-0.0011184630127488806,-0.00157773052027876,-0.0013878813481740056,-0.0019577784303819413,0.00020893385625809688
"qp[0.9,0.99)",250295,1735,0.0069318204518667974,163252.0,0.6522383587366907,159,1576,0.09164265129682997,534.003391,914.1827626,1900.0,11.0,0.0,0.6522383587366907,-1.829677581784115,-0.22219526517929455,-0.33493757008800235,-0.0008586304825135472,-0.0012385498016888941,-0.001572213904109497,-0.0022678733853554005,0.000315398563212496
"qp[0.99,1.01)",30971,56,0.0018081431016111846,5453.0,0.1760679345193891,2,54,0.03571428571428571,368.1490275,895.8753295,60558.0,36.0,0.0,0.1760679345193891,-5.5764840732209455,-0.6822601958671862,-1.195413401777363,-0.0001786336338379694,-0.00029062036165866033,-0.0009924193664028228,-0.0016145743048739485,0.00013828864829693098
