subset,cost_regime,horizon_ms,attempts,filled_attempts,net_bps_mean,net_bps_median,net_bps_p05,net_bps_p95,share_positive,exit_cost_bps_mean,ev_per_filled_share_bps,ev_per_attempt_usd,ev_per_attempt_bps,rebate_sensitivity_ev_per_attempt_usd,rebate_sensitivity_ev_per_attempt_bps
primary,structural_floor,1000,737768,6067,-2.019111771309405,-1.5717047192216214,-5.26876626314527,0.6622597534576572,0.07624113475177305,0.5541419048950951,-0.196563535001951,-0.0011773901623250637,-0.0016726344256323977,0.0001368571349282734,0.00019442319343182028
primary,accessible_fixed,1000,737768,6067,-2.924374073988694,-2.1620453011659495,-7.213421082112345,5.685845520425631e-05,0.05851063829787234,1.459404207574384,-0.28400436226054376,-0.0016319600617935226,-0.002318409536582649,-0.00031771276454018544,-0.00045135191751843103
primary,accessible_tiered,1000,737768,6067,-2.5599071350639613,-1.9843323314529977,-6.4886080305118865,0.3166168754884112,0.07092198581560284,1.0949372686496512,-0.2486015852797313,-0.0014606746195579658,-0.002075076496728556,-0.0001464273223046287,-0.00020801887766433812
all,structural_floor,1000,2458422,15768,-3.019179543366021,-1.7260931893511684,-11.877769154984616,0.25237951872319725,0.06292749658002736,0.4555470714497884,-0.2889159712709563,-0.002254270540917989,-0.0011442012644564017,-0.0012931366916439425,-0.0006563580594418972
all,accessible_fixed,1000,2458422,15768,-3.694000664575929,-2.2797148545263157,-12.751676830095773,-2.306863724952923e-05,0.04514363885088919,1.1303681926596965,-0.35509066050214455,-0.0025691462210675415,-0.0013040228762967326,-0.001608012371793495,-0.0008161796712822281
all,accessible_tiered,1000,2458422,15768,-3.4380476504698056,-2.0782770500706054,-12.350930058265684,0.1076484258211527,0.0560875512995896,0.874415178553573,-0.3295233891675942,-0.0024746452984610143,-0.0012560569941295226,-0.001513511449186968,-0.000768213789115018
