locate,symbol,rank,add_count,first_add_price_usd,market_category,issue_classification,scope
4267,ISRG,50,37263,431.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2046,DISH,51,85741,37.1,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5986,PAYX,52,117392,1.01,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
6939,SBAC,53,30094,219.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4189,INTU,54,43925,1.01,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2519,EQIX,55,30870,470.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
1363,CGNX,56,70262,56.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
1648,COST,57,57530,250.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
8091,ULTA,58,29168,367.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
1808,CTXS,59,72527,1.01,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7955,TTWO,60,93292,124.99,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
8497,WDC,61,145681,60.43,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
3318,GHDX,62,45589,72.11,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
1744,CSGP,63,11708,631.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5035,MEDP,64,34764,68.57,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5895,ORLY,65,27804,165.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4878,LRCX,66,104686,1.01,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
3499,GRMN,67,47471,81.73,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
325,AMAT,68,205754,1.01,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2277,EBAY,69,178193,38.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5825,OKTA,70,39286,112.77,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
8649,WYNN,71,41080,200.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
6631,REGN,72,32710,324.95,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2084,DLTR,73,101000,126.5,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
604,ATVI,74,167230,49.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
111,ADSK,75,80411,160.48,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
1799,CTSH,76,101213,1.01,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4910,LULU,77,53154,171.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5007,MDB,78,32282,153.5,G,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
8388,VRNS,79,28989,70.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7701,TER,80,121245,57.55,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
3617,HAS,81,48136,108.64,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4991,MCHP,82,103932,98.25,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
94,ADI,83,151089,121.1,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
8014,UAL,84,76296,87.48,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4212,IPGP,85,34867,120.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5273,MRVL,86,175846,26.65,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4953,MAR,87,85286,199999.99,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7163,SIRI,88,65118,7.95,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2730,FANG,89,36689,98.07,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7358,SPLK,90,39253,138.05,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
8665,XEL,91,167999,63.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
