delay_ms,horizon_ms,cost_regime,observations,decision_rows_total,decision_rows_with_zero_or_missing_imbalance,observations_decision_state_valid,arrival_missing,future_missing,mean_gross_markout_bps,mean_markout_long_bps,mean_markout_short_bps,mean_cross_to_cross_bps,mean_known_cost_bps,mean_cost_adjusted_bps,median_cost_adjusted_bps,prob_adjusted_positive,representative_order_shares,block_bootstrap_se_bps,block_bootstrap_ci_low_bps,block_bootstrap_ci_high_bps,label
0,100,structural_floor,1340431,1427400,86969,1340431,0,0,-1.6709304356266392,-1.685154249430093,-1.6852889508104683,-1.6774217487893075,2.6830821199448116,-4.35401255557145,-3.3505837181384246,0.0010086308060616323,100.0,0.12266195723132879,-4.59958251263744,-4.120874703288753,IDEALIZED_REFERENCE_EXECUTION
0,100,accessible_fixed,1340431,1427400,86969,1340431,0,0,-1.6709304356266392,-1.685154249430093,-1.6852889508104683,-1.6774217487893075,7.997036706843623,-9.66796714247026,-7.412355761438197,0.0003006495671914481,100.0,0.31716936262800677,-10.286744877369793,-9.05158482808766,IDEALIZED_REFERENCE_EXECUTION
0,100,accessible_tiered,1340431,1427400,86969,1340431,0,0,-1.6709304356266392,-1.685154249430093,-1.6852889508104683,-1.6774217487893075,5.646456044996078,-7.317386480622717,-5.747377907306943,0.0003819666957866537,100.0,0.22612135309566134,-7.766800376273454,-6.879726376653408,IDEALIZED_REFERENCE_EXECUTION
0,250,structural_floor,1340431,1427400,86969,1340431,0,0,-1.6547761830001833,-1.6834471809644143,-1.6869960192761468,-1.6690622543140694,2.6830821199448116,-4.337858302944995,-3.3471756595353277,0.0023798315616395025,100.0,0.12162131296571882,-4.580226602562516,-4.113996243935228,IDEALIZED_REFERENCE_EXECUTION
0,250,accessible_fixed,1340431,1427400,86969,1340431,0,0,-1.6547761830001833,-1.6834471809644143,-1.6869960192761468,-1.6690622543140694,7.997036706843623,-9.651812889843805,-7.392736869127966,0.0006699337750320606,100.0,0.31670128431222205,-10.292111454425513,-9.066119163920964,IDEALIZED_REFERENCE_EXECUTION
0,250,accessible_tiered,1340431,1427400,86969,1340431,0,0,-1.6547761830001833,-1.6834471809644143,-1.6869960192761468,-1.6690622543140694,5.646456044996078,-7.301232227996261,-5.716512526697143,0.000893742385844553,100.0,0.22540577496655442,-7.752756295842394,-6.8796939313616265,IDEALIZED_REFERENCE_EXECUTION
0,500,structural_floor,1340431,1427400,86969,1340431,0,0,-1.634097543795038,-1.6829589297205472,-1.6874842705200142,-1.6586062232789511,2.6830821199448116,-4.31717966373985,-3.341109200414198,0.00461194944014276,100.0,0.12216677588392755,-4.559234868638,-4.082076548177653,IDEALIZED_REFERENCE_EXECUTION
0,500,accessible_fixed,1340431,1427400,86969,1340431,0,0,-1.634097543795038,-1.6829589297205472,-1.6874842705200142,-1.6586062232789511,7.997036706843623,-9.631134250638661,-7.372990564160987,0.0012995820001178726,100.0,0.316994196510549,-10.25604097381582,-9.02746143885188,IDEALIZED_REFERENCE_EXECUTION
0,500,accessible_tiered,1340431,1427400,86969,1340431,0,0,-1.634097543795038,-1.6829589297205472,-1.6874842705200142,-1.6586062232789511,5.646456044996078,-7.280553588791117,-5.623795308066126,0.0016905010403370259,100.0,0.22578962106011496,-7.7273122993765275,-6.852409506543463,IDEALIZED_REFERENCE_EXECUTION
0,1000,structural_floor,1340431,1427400,86969,1340431,0,0,-1.6006093229052885,-1.6819889772661871,-1.6884542229743742,-1.641259716417807,2.6830821199448116,-4.2836914428501,-3.324083516318181,0.009561103853909675,100.0,0.11714547423191642,-4.509440371420938,-4.060162448922543,IDEALIZED_REFERENCE_EXECUTION
0,1000,accessible_fixed,1340431,1427400,86969,1340431,0,0,-1.6006093229052885,-1.6819889772661871,-1.6884542229743742,-1.641259716417807,7.997036706843623,-9.597646029748908,-7.340879641585617,0.002671528784398451,100.0,0.3053112815011684,-10.202096816495931,-9.012485082569517,IDEALIZED_REFERENCE_EXECUTION
0,1000,accessible_tiered,1340431,1427400,86969,1340431,0,0,-1.6006093229052885,-1.6819889772661871,-1.6884542229743742,-1.641259716417807,5.646456044996078,-7.247065367901366,-5.576645861401403,0.003463811266674674,100.0,0.21715721484000067,-7.676710131811885,-6.833785465352795,IDEALIZED_REFERENCE_EXECUTION
10,100,structural_floor,1340431,1427400,86969,1340431,0,0,-1.6718917873361387,-1.6849195440859472,-1.6847913537718007,-1.6779254988264192,2.6830819716156884,-4.354973758951827,-3.3507472188869594,0.0009743134857370503,100.0,0.12383056381643064,-4.6072582894008525,-4.119072851925501,IDEALIZED_REFERENCE_EXECUTION
10,100,accessible_fixed,1340431,1427400,86969,1340431,0,0,-1.6718917873361387,-1.6849195440859472,-1.6847913537718007,-1.6779254988264192,7.997036227976395,-9.668928015312535,-7.412355761438197,0.0002797607635156155,100.0,0.3217838292841986,-10.316347237175608,-9.07041471454757,IDEALIZED_REFERENCE_EXECUTION
10,100,accessible_tiered,1340431,1427400,86969,1340431,0,0,-1.6718917873361387,-1.6849195440859472,-1.6847913537718007,-1.6779254988264192,5.646455719218393,-7.318347506554532,-5.749549809160068,0.0003603318634081128,100.0,0.22919377588238488,-7.779784970637804,-6.889319363637272,IDEALIZED_REFERENCE_EXECUTION
10,250,structural_floor,1340431,1427400,86969,1340431,0,0,-1.6555635173846497,-1.6834488301047208,-1.6862620677530265,-1.6695108554778533,2.6830819716156884,-4.338645489000338,-3.3473388060667797,0.0023455142413149202,100.0,0.12210624246460018,-4.584650043015385,-4.104755302654801,IDEALIZED_REFERENCE_EXECUTION
10,250,accessible_fixed,1340431,1427400,86969,1340431,0,0,-1.6555635173846497,-1.6834488301047208,-1.6862620677530265,-1.6695108554778533,7.997036227976395,-9.652599745361046,-7.392736869127966,0.0006639655454103941,100.0,0.3213369611835138,-10.28466993928955,-9.046907564401456,IDEALIZED_REFERENCE_EXECUTION
10,250,accessible_tiered,1340431,1427400,86969,1340431,0,0,-1.6555635173846497,-1.6834488301047208,-1.6862620677530265,-1.6695108554778533,5.646455719218393,-7.302019236603043,-5.722344247699665,0.0008803138691958034,100.0,0.22813872786741562,-7.757179016217589,-6.86583529104526,IDEALIZED_REFERENCE_EXECUTION
10,500,structural_floor,1340431,1427400,86969,1340431,0,0,-1.6353698479760357,-1.6830824905133652,-1.6866284073443825,-1.659240495490702,2.6830819716156884,-4.318451819591725,-3.3416745070279337,0.004560473459655887,100.0,0.12203902523052858,-4.554881610164085,-4.0810566672063695,IDEALIZED_REFERENCE_EXECUTION
10,500,accessible_fixed,1340431,1427400,86969,1340431,0,0,-1.6353698479760357,-1.6830824905133652,-1.6866284073443825,-1.659240495490702,7.997036227976395,-9.63240607595243,-7.373355792061514,0.0012913756843880811,100.0,0.318449529856686,-10.246648764247771,-9.015329567028317,IDEALIZED_REFERENCE_EXECUTION
10,500,accessible_tiered,1340431,1427400,86969,1340431,0,0,-1.6353698479760357,-1.6830824905133652,-1.6866284073443825,-1.659240495490702,5.646455719218393,-7.281825567194428,-5.625209850354583,0.00167110429406661,100.0,0.22649283230227948,-7.716430848350014,-6.849514033806612,IDEALIZED_REFERENCE_EXECUTION
10,1000,structural_floor,1340372,1427400,86969,1340431,0,59,-1.6017314576524337,-1.681581681439243,-1.6881500544678265,-1.6416621821355275,2.683083712356479,-4.284815170008914,-3.3251270497378895,0.009539888926357758,100.0,0.12360991634420226,-4.5319270432995955,-4.042157243945597,IDEALIZED_REFERENCE_EXECUTION
10,1000,accessible_fixed,1340372,1427400,86969,1340431,0,59,-1.6017314576524337,-1.681581681439243,-1.6881500544678265,-1.6416621821355275,7.997041847801385,-9.598773305453818,-7.3420773595023,0.0026843294249656066,100.0,0.3241588801717248,-10.248550335989867,-8.975643720647467,IDEALIZED_REFERENCE_EXECUTION
10,1000,accessible_tiered,1340372,1427400,86969,1340431,0,59,-1.6017314576524337,-1.681581681439243,-1.6881500544678265,-1.6416621821355275,5.646459542435913,-7.248191000088347,-5.578123066115499,0.0034766467816397238,100.0,0.23032676708561198,-7.705812809041568,-6.804446548483902,IDEALIZED_REFERENCE_EXECUTION
25,100,structural_floor,1340431,1427400,86969,1340431,0,0,-1.6729507755296984,-1.6843962566721973,-1.6845791229264198,-1.6784808810598772,2.6830820586852933,-4.356032834214992,-3.3513160069135166,0.00093477396449351,100.0,0.11888940096142778,-4.588930497088153,-4.126837394102038,IDEALIZED_REFERENCE_EXECUTION
25,100,accessible_fixed,1340431,1427400,86969,1340431,0,0,-1.6729507755296984,-1.6843962566721973,-1.6845791229264198,-1.6784808810598772,7.997036509072779,-9.669987284602477,-7.413441214548387,0.00027453856259665736,100.0,0.30575042669603425,-10.286111749682398,-9.072377047186448,IDEALIZED_REFERENCE_EXECUTION
