horizon_ms,observations,observations_dropped_no_future_state,observations_dropped_session_end,observations_unresolved,mean_bps,median_bps,std_bps,p05_bps,p25_bps,p75_bps,p95_bps,prob_positive,prob_negative,prob_zero,zero_return_count,block_bootstrap_se_bps,block_bootstrap_ci_low_bps,block_bootstrap_ci_high_bps,block_bootstrap_unit,block_bootstrap_resamples,block_dispersion_std_bps,symbol_dispersion_std_bps,day_dispersion_std_bps
100,14274000,0,0,0,0.00034302452163144695,0.0,0.44307427102771857,0.0,0.0,0.0,0.0,0.015285904441642146,0.01501597309794031,0.9696981224604175,13841471,0.00012604879617954468,0.00011106750114531662,0.0005995978938612915,SYMBOL_BLOCK,2000,0.0006361595082057687,0.001159271727941672,UNKNOWN_SINGLE_SAMPLE_DAY
250,14273878,0,122,0,0.0009322709879842781,0.0,0.6963151789366433,0.0,0.0,0.0,0.0,0.033499655804820526,0.03266722610351581,0.9338331180916637,13329420,0.0003281869040762327,0.00029943426363307284,0.0015638565355134701,SYMBOL_BLOCK,2000,0.001435266772210032,0.0032263809783248864,UNKNOWN_SINGLE_SAMPLE_DAY
500,14273756,0,244,0,0.0017860023548961763,0.0,0.9650399210104743,-0.24027487635612488,0.0,0.0,0.2534275949001312,0.058119110344887495,0.056374509974809715,0.8855063796803028,12639502,0.0006087595519550557,0.0006001452245710518,0.003007610684066064,SYMBOL_BLOCK,2000,0.00311329195186856,0.005758514297994694,UNKNOWN_SINGLE_SAMPLE_DAY
1000,14273451,0,549,0,0.0036537547034889255,0.0,1.335031120019133,-0.8687342405319214,0.0,0.0,0.8881783485412598,0.09589005489982766,0.09262518223518615,0.8114847628649862,11582688,0.00118902072601162,0.0013370335762196751,0.006181222893443489,SYMBOL_BLOCK,2000,0.006151892823005744,0.010952023319057237,UNKNOWN_SINGLE_SAMPLE_DAY
