imbalance_bin,spread_class,price_band,observations,mean_oracle_gross_bps,mean_oracle_net_structural_floor_bps,mean_oracle_net_accessible_fixed_bps,mean_oracle_net_accessible_tiered_bps,prob_oracle_net_structural_floor_positive,prob_oracle_net_accessible_fixed_positive,prob_oracle_net_accessible_tiered_positive,mean_oracle_net_structural_floor_bps_signal_defined,mean_oracle_net_accessible_fixed_bps_signal_defined,mean_oracle_net_accessible_tiered_bps_signal_defined,observations_signal_defined,share_of_valid_states,share_of_signal_defined_observations,horizon_ms,delay_ms,oracle_trade_fraction,oracle_buy_fraction,cost_ledger_id,label,note
"[-0.8,-0.6)",ONE_TICK,5-25,6735,0.002790822830386136,0.001000701146953747,0.0,0.0,0.0002969561989606533,0.0,0.0,0.001000701146953747,0.0,0.0,6735,0.004718369062631358,0.005024503312740455,100,0,0.0002969561989606533,0.9885671863400148,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-0.8,-0.6)",ONE_TICK,25-50,20639,0.0016416748490044385,0.0008252274949865216,0.00029095421790263886,0.0003950014718215098,0.00048451959881777216,4.845195988177722e-05,9.690391976355444e-05,0.0008252274949865216,0.00029095421790263886,0.0003950014718215098,20639,0.014459156508336837,0.015397286395196769,100,0,0.00048451959881777216,0.9837201414797229,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-0.8,-0.6)",ONE_TICK,50-100,23274,0.0011943714836216103,0.00038816640803541135,7.716983683389775e-09,6.0065802319058855e-05,0.0006874624043997594,4.296640027498496e-05,8.593280054996992e-05,0.00038816640803541135,7.716983683389775e-09,6.0065802319058855e-05,23274,0.01630517023959647,0.01736307202683316,100,0,0.0006874624043997594,0.9804073214746069,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-0.8,-0.6)",ONE_TICK,100-200,6653,0.00300503141476994,0.0013418701526529547,0.0006786079283412983,0.0008557948560196923,0.0016533894483691568,0.0006012325266796934,0.0007515406583496167,0.0013418701526529547,0.0006786079283412983,0.0008557948560196923,6653,0.004660921956003923,0.004963328959118373,100,0,0.00270554637005862,0.9544566361040132,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-0.8,-0.6)",ONE_TICK,200+,1304,0.007053142557677576,0.0049474525625621815,0.004615305039272021,0.004684331254904831,0.0007668711656441718,0.0007668711656441718,0.0007668711656441718,0.0049474525625621815,0.004615305039272021,0.004684331254904831,1304,0.0009135491102704217,0.0009728214283316336,100,0,0.004601226993865031,0.9079754601226994,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-0.8,-0.6)",WIDER_THAN_ONE_TICK,5-25,275,0.0508582326764145,0.03436681281744747,3.554034428820397e-05,0.015534006769547078,0.0036363636363636364,0.0036363636363636364,0.0036363636363636364,0.03436681281744747,3.554034428820397e-05,0.015534006769547078,275,0.00019265797954322544,0.0002051578932447847,100,0,0.0036363636363636364,0.9636363636363636,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-0.8,-0.6)",WIDER_THAN_ONE_TICK,25-50,2420,0.000890471157193983,0.00025352193580650096,0.0,0.0,0.00041322314049586776,0.0,0.0,0.00025352193580650096,0.0,0.0,2420,0.001695390219980384,0.0018053894605541054,100,0,0.00041322314049586776,0.9537190082644628,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-0.8,-0.6)",WIDER_THAN_ONE_TICK,50-100,7444,0.0015172772772507567,0.0006203501878607413,4.22791329799061e-08,0.00016047741834269167,0.0008060182697474476,0.00013433637829124128,0.00026867275658248256,0.0006203501878607413,4.22791329799061e-08,0.00016047741834269167,7444,0.005215076362617347,0.005553437662960644,100,0,0.0008060182697474476,0.9689682966147233,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-0.8,-0.6)",WIDER_THAN_ONE_TICK,100-200,13307,0.002956878746149695,0.0021544317649362663,0.0016249734048811206,0.0017796902349684742,0.0011272262718869767,0.0005260389268805891,0.0005260389268805891,0.0021544317649362663,0.0016249734048811206,0.0017796902349684742,13307,0.009322544486478913,0.009927403946939455,100,0,0.0011272262718869767,0.9587435184489367,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-0.8,-0.6)",WIDER_THAN_ONE_TICK,200+,10491,0.0014555431153475058,0.0011950011277537395,0.0010456208013010363,0.0010726361194403114,0.0003812791916881136,0.0001906395958440568,0.0003812791916881136,0.0011950011277537395,0.0010456208013010363,0.0010726361194403114,10491,0.0073497267759562845,0.00782658712011286,100,0,0.0007625583833762272,0.9574873701267753,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
