trading_day,unit,unit_id,observations,price_usd_count,price_usd_mean,price_usd_median,price_usd_std,price_usd_p01,price_usd_p05,price_usd_p25,price_usd_p75,price_usd_p95,price_usd_p99,price_usd_min,price_usd_max,spread_usd_count,spread_usd_mean,spread_usd_median,spread_usd_std,spread_usd_p01,spread_usd_p05,spread_usd_p25,spread_usd_p75,spread_usd_p95,spread_usd_p99,spread_usd_min,spread_usd_max,spread_ticks_count,spread_ticks_mean,spread_ticks_median,spread_ticks_std,spread_ticks_p01,spread_ticks_p05,spread_ticks_p25,spread_ticks_p75,spread_ticks_p95,spread_ticks_p99,spread_ticks_min,spread_ticks_max,bid_size_shares_count,bid_size_shares_mean,bid_size_shares_median,bid_size_shares_std,bid_size_shares_p01,bid_size_shares_p05,bid_size_shares_p25,bid_size_shares_p75,bid_size_shares_p95,bid_size_shares_p99,bid_size_shares_min,bid_size_shares_max,ask_size_shares_count,ask_size_shares_mean,ask_size_shares_median,ask_size_shares_std,ask_size_shares_p01,ask_size_shares_p05,ask_size_shares_p25,ask_size_shares_p75,ask_size_shares_p95,ask_size_shares_p99,ask_size_shares_min,ask_size_shares_max,staleness_ms_count,staleness_ms_mean,staleness_ms_median,staleness_ms_std,staleness_ms_p01,staleness_ms_p05,staleness_ms_p25,staleness_ms_p75,staleness_ms_p95,staleness_ms_p99,staleness_ms_min,staleness_ms_max,events_prior_100ms_bucket_count,events_prior_100ms_bucket_mean,events_prior_100ms_bucket_median,events_prior_100ms_bucket_std,events_prior_100ms_bucket_p01,events_prior_100ms_bucket_p05,events_prior_100ms_bucket_p25,events_prior_100ms_bucket_p75,events_prior_100ms_bucket_p95,events_prior_100ms_bucket_p99,events_prior_100ms_bucket_min,events_prior_100ms_bucket_max,one_tick_spread_fraction
2019-07-30,SYMBOL,DLTR,234000,234000,102.48776205128205,102.58,0.4425516874685324,101.32,101.625,102.375,102.705,103.125,103.545,101.225,104.375,234000,0.031330683760683764,0.02,0.030683537247059592,0.01,0.01,0.02,0.04,0.07,0.17,0.01,1.97,234000,3.133068376068376,2.0,3.0683537247059594,1.0,1.0,2.0,4.0,7.0,17.0,1.0,197.0,234000,197.01026923076924,169.0,185.6276779709313,2.0,20.0,100.0,250.0,500.0,720.0,1.0,5256.0,234000,188.37768376068377,151.0,133.54644125976455,1.0,22.0,100.0,236.0,431.0,647.0,1.0,1705.0,234000,1122.8584613998332,442.23476900000003,1727.4259402908885,4.12532108,22.2092588,140.04730125,1374.2125732499999,4492.009651699996,8388.066948120004,0.001474,22230.841766,234000,0.9277564102564102,0.0,3.8476202692459767,0.0,0.0,0.0,0.0,5.0,16.0,0.0,167.0,0.1874957264957265
2019-07-30,SYMBOL,EA,234000,234000,87.88903452991454,88.1,0.6227124703539101,86.43,86.745,87.405,88.42,88.72,88.93,86.21,89.005,234000,0.0331557264957265,0.03,0.02997886606441522,0.01,0.01,0.02,0.04,0.08,0.16,0.01,0.43,234000,3.3155726495726494,3.0,2.9978866064415217,1.0,1.0,2.0,4.0,8.0,16.0,1.0,43.0,234000,261.1405726495727,200.0,211.77710708084433,1.0,20.0,100.0,310.0,600.0,1064.0,1.0,5100.0,234000,244.35276495726495,200.0,213.798636503612,4.0,46.0,100.0,300.0,594.0,908.0,1.0,4131.0,234000,719.3490123429872,326.671135,1048.9653716771684,3.1086010600000002,19.633018500000006,117.7377025,881.9131025,2766.809684399999,4996.419262960003,0.001526,16715.813348,234000,1.033957264957265,0.0,3.9889398840231514,0.0,0.0,0.0,0.0,5.0,19.0,0.0,200.0,0.11744444444444445
2019-07-30,SYMBOL,EBAY,234000,234000,41.35745138888889,41.365,0.0592086814608064,41.215,41.245,41.325,41.395,41.455,41.485,41.08,41.495,234000,0.010600555555555556,0.01,0.004021055744701392,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.19,234000,1.0600555555555555,1.0,0.4021055744701392,1.0,1.0,1.0,1.0,1.0,3.0,1.0,19.0,234000,1481.8129700854702,1300.0,951.517422293215,100.0,300.0,825.0,1900.0,3200.0,4741.0,1.0,13841.0,234000,1093.539547008547,815.0,920.1019189170064,100.0,200.0,500.0,1385.0,2854.0,4500.0,1.0,18864.0,234000,496.03313339761536,245.9972335,706.2202414784933,2.1175826300000007,14.192772000000001,88.53316325,600.07289025,1846.5022417999992,3442.5814887100105,0.000142,9931.807519,234000,1.59091452991453,0.0,7.723980181670556,0.0,0.0,0.0,1.0,7.0,21.0,0.0,343.0,0.9653376068376068
2019-07-30,SYMBOL,ETFC,234000,234000,48.62375912393161,48.625,0.09609840604804311,48.465,48.485,48.555,48.665,48.855,48.885,48.44,49.845,234000,0.013250470085470084,0.01,0.011497731501660436,0.01,0.01,0.01,0.01,0.03,0.05,0.01,2.41,234000,1.3250470085470085,1.0,1.1497731501660435,1.0,1.0,1.0,1.0,3.0,5.0,1.0,241.0,234000,347.02090598290596,259.0,416.24720324751337,5.0,100.0,136.0,415.0,819.0,1296.0,1.0,5858.0,234000,382.4003418803419,300.0,338.6458276761028,17.0,100.0,200.0,500.0,983.0,1683.0,1.0,4999.0,234000,778.6249811178802,359.281409,1202.6846191773966,3.3967190400000007,21.0105055,128.4291915,938.8774322500001,2909.9184781999984,5552.353241810013,0.000975,24667.984407,234000,0.9385299145299145,0.0,4.268883657620613,0.0,0.0,0.0,0.0,4.0,15.0,0.0,231.0,0.7891196581196581
2019-07-30,SYMBOL,FB,234000,234000,197.13257764957265,197.21,0.7437962986294545,194.92,195.425,196.815,197.595,198.31,198.62,193.545,198.715,234000,0.02031564102564103,0.02,0.011937198423371442,0.01,0.01,0.01,0.02,0.04,0.06,0.01,0.51,234000,2.0315641025641025,2.0,1.1937198423371445,1.0,1.0,1.0,2.0,4.0,6.0,1.0,51.0,234000,222.06124358974358,200.0,243.0035648506642,6.0,14.0,100.0,315.0,521.0,952.0,1.0,9297.0,234000,172.33283333333333,118.0,312.8206231976946,1.0,12.0,27.0,218.0,424.0,970.0400000000373,1.0,14670.0,234000,195.46905425598717,103.8551075,280.0911837982941,0.7272099700000001,5.3840903,37.3916205,236.15286675,698.9061185999998,1409.3440493200046,6.9e-05,4461.048008,234000,3.274991452991453,0.0,9.841892344799078,0.0,0.0,0.0,3.0,16.0,42.0,0.0,1289.0,0.3182136752136752
2019-07-30,SYMBOL,FISV,234000,234000,103.85345500000001,103.875,0.1961203515825973,103.425,103.545,103.695,104.025,104.115,104.175,102.815,104.22,234000,0.015956581196581197,0.01,0.015828478257744888,0.01,0.01,0.01,0.02,0.03,0.09,0.01,0.72,234000,1.5956581196581197,1.0,1.5828478257744887,1.0,1.0,1.0,2.0,3.0,9.0,1.0,72.0,234000,410.90762393162396,300.0,378.3701050306697,21.0,100.0,139.0,500.0,1200.0,1759.0,1.0,3700.0,234000,428.08328632478634,345.0,385.1746125250528,36.0,100.0,200.0,600.0,954.0,1617.0,1.0,14800.0,234000,603.0205814417436,323.04298300000005,794.5506622872274,2.79333722,16.22971115,109.31126075,775.05685275,2150.334750599998,3814.3719850800235,0.000498,10783.012905,234000,1.612457264957265,0.0,6.973212883443538,0.0,0.0,0.0,0.0,7.0,33.0,0.0,481.0,0.6550213675213675
2019-07-30,SYMBOL,FITB,234000,234000,29.786116324786324,29.795,0.0508529482820955,29.595,29.695,29.765,29.815,29.845,29.865,29.285,29.885,234000,0.010515897435897434,0.01,0.005251108322440568,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.9,234000,1.0515897435897437,1.0,0.5251108322440567,1.0,1.0,1.0,1.0,1.0,2.0,1.0,90.0,234000,2343.3740598290597,2200.0,1464.1593516697008,100.0,300.0,1354.0,3012.0,4900.0,7125.0,3.0,19980.0,234000,1746.6896196581197,1620.0,1135.2463596605708,100.0,216.0,900.0,2345.0,3800.0,5145.0,5.0,17195.0,234000,573.7882910644872,293.1356305,862.7590569216229,2.98648148,16.813121300000002,106.346728,686.7615295,2085.5010087999995,3992.4353583000043,0.000605,20159.451019,234000,1.274982905982906,0.0,6.735281297923754,0.0,0.0,0.0,0.0,5.0,16.0,0.0,500.0,0.9756923076923077
2019-07-30,SYMBOL,GILD,234000,234000,67.18704066239316,67.235,0.17068490439205364,66.715,66.865,67.095,67.305,67.405,67.49,66.665,68.035,234000,0.014914658119658121,0.01,0.010748486526855809,0.01,0.01,0.01,0.02,0.03,0.06,0.01,0.47,234000,1.491465811965812,1.0,1.0748486526855807,1.0,1.0,1.0,2.0,3.0,6.0,1.0,47.0,234000,411.8256923076923,300.0,416.70871933683424,2.0,100.0,200.0,500.0,1053.0,2372.0,1.0,5858.0,234000,541.0402179487179,401.0,517.5494807343888,1.0,100.0,201.0,700.0,1306.0,2401.0,1.0,8726.0,234000,519.9855841918333,268.9875585,693.4676079197096,2.19532146,14.83086995,97.6920155,651.1122022500001,1916.0054987999988,3291.823506430001,0.000916,8149.057575,234000,1.3451880341880342,0.0,5.427848908606362,0.0,0.0,0.0,1.0,6.0,25.0,0.0,267.0,0.6897863247863247
2019-07-30,SYMBOL,GOOG,234000,234000,1228.5654403846152,1228.55,1.8599132185498648,1224.08495,1225.815,1227.225,1229.59,1232.16,1232.955,1223.32,1234.545,234000,0.4538790598290599,0.42,0.20336197920839208,0.14,0.2,0.32,0.54,0.81,1.2,0.01,2.32,234000,45.387905982905984,42.0,20.336197920839208,14.0,20.0,32.0,54.0,81.0,120.0,1.0,232.0,234000,107.34094871794872,100.0,105.8829985553472,1.0,3.0,10.0,200.0,300.0,400.0,1.0,4300.0,234000,73.36152136752136,100.0,82.26230492284314,1.0,1.0,3.0,100.0,203.0,305.0,1.0,2082.0,234000,307.5749554375599,140.72191450000003,472.5496019172924,0.43003677,3.7503345,42.187771250000004,373.52407275,1178.7951236999975,2294.158116270001,0.000133,7938.632968,234000,3.2985042735042733,0.0,9.332471244873462,0.0,0.0,0.0,2.0,17.0,43.0,0.0,288.0,4.273504273504274e-06
2019-07-30,SYMBOL,GOOGL,234000,234000,1230.857519465812,1230.85,1.8758489076805749,1226.35,1228.06,1229.515,1231.765,1234.58,1235.33,1225.1,1236.625,234000,0.44501286324786327,0.41,0.19483429647811673,0.15,0.2,0.32,0.52,0.82,1.15,0.01,2.77,234000,44.50128632478633,41.0,19.483429647811672,15.0,20.0,32.0,52.0,82.0,115.0,1.0,277.0,234000,74.2975170940171,80.0,80.41024687979906,1.0,1.0,3.0,101.0,204.0,303.0,1.0,1416.0,234000,64.14596581196581,30.0,83.22466352308905,1.0,1.0,3.0,100.0,200.0,300.0,1.0,1020.0,234000,398.5450201787094,181.933162,613.6915047343708,0.52465374,4.69810215,50.7262565,485.28767125,1529.292235699998,3014.091901080002,6e-06,9526.868689,234000,2.7968333333333333,0.0,8.627598503390681,0.0,0.0,0.0,2.0,14.0,39.0,0.0,362.0,4.273504273504274e-06
