imbalance_bin,spread_class,price_band,observations,mean_signal_signed_mid_move_bps,net_structural_floor_bps,qimb_bound_structural_floor_bps,abstention_gain_structural_floor_bps,net_accessible_fixed_bps,qimb_bound_accessible_fixed_bps,abstention_gain_accessible_fixed_bps,net_accessible_tiered_bps,qimb_bound_accessible_tiered_bps,abstention_gain_accessible_tiered_bps,prob_net_structural_floor_positive,prob_qimb_bound_structural_floor_positive,prob_net_accessible_fixed_positive,prob_qimb_bound_accessible_fixed_positive,prob_net_accessible_tiered_positive,prob_qimb_bound_accessible_tiered_positive,horizon_ms,delay_ms,side_dictated_by,cost_ledger_id,label,note
"[-0.8,-0.6)",ONE_TICK,5-25,6735,0.0637105869161942,-11.529617709453776,0.0005109173918768027,11.530128626845652,-21.02287470247924,0.0,21.02287470247924,-16.736639762446927,0.0,16.736639762446927,0.00014847809948032666,0.00014847809948032666,0.0,0.0,0.0,0.0,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.8,-0.6)",ONE_TICK,25-50,20639,0.03538360661847215,-4.582498380936555,0.0007238920415989605,4.583222272978155,-8.13022170010906,0.00029095421790263876,8.130512654326962,-6.597675431902502,0.00039500147182150967,6.598070433374323,0.00033916371917244053,0.00033916371917244053,4.845195988177722e-05,4.845195988177722e-05,9.690391976355444e-05,9.690391976355444e-05,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.8,-0.6)",ONE_TICK,50-100,23274,0.02408499664692703,-2.7951089442641472,0.0002625896213752545,2.7953715338855223,-4.8104757850982445,0.0,4.8104757850982445,-3.9876442215877868,3.209337319885643e-05,3.9876763149609857,0.0005155968032998196,0.0005155968032998196,0.0,0.0,4.296640027498496e-05,4.296640027498496e-05,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.8,-0.6)",ONE_TICK,100-200,6653,0.021984344411994337,-1.4902235495680318,0.0007073823042464384,1.490930931872278,-2.384744490312248,0.0004573115123365684,2.3852018018245844,-2.0810354862304528,0.0004929957973774662,2.08152848202783,0.0012024650533593868,0.0012024650533593868,0.00015030813166992335,0.00015030813166992335,0.0003006162633398467,0.0003006162633398467,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.8,-0.6)",ONE_TICK,200+,1304,0.04100088242907976,-0.9780131842239149,0.0049474525625621815,0.9829606367864769,-1.4307279679656084,0.004615305039272021,1.4353432730048805,-1.3316425816140463,0.004684331254904831,1.3363269128689512,0.0007668711656441718,0.0007668711656441718,0.0007668711656441718,0.0007668711656441718,0.0007668711656441718,0.0007668711656441718,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.8,-0.6)",WIDER_THAN_ONE_TICK,5-25,275,-0.08050369285226651,-22.696166159820468,0.0,22.696166159820468,-32.17022822846205,0.0,32.17022822846205,-27.89288346528046,0.0,27.89288346528046,0.0,0.0,0.0,0.0,0.0,0.0,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.8,-0.6)",WIDER_THAN_ONE_TICK,25-50,2420,0.054804633087482096,-9.236296952071868,0.00025352193580650134,9.236550474007673,-12.309044772707093,0.0,12.309044772707093,-10.996484585055233,0.0,10.996484585055233,0.00041322314049586776,0.00041322314049586776,0.0,0.0,0.0,0.0,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.8,-0.6)",WIDER_THAN_ONE_TICK,50-100,7444,0.02759888883564755,-6.003467316285761,0.0003611325032556898,6.003828448789017,-7.851081616577263,0.0,7.851081616577263,-7.10594505841067,0.00010014011869218267,7.106045198529363,0.0004030091348737238,0.0004030091348737238,0.0,0.0,0.00013433637829124128,0.00013433637829124128,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.8,-0.6)",WIDER_THAN_ONE_TICK,100-200,13307,0.015262211361692507,-4.813028916047858,0.0008364799943730453,4.813865396042232,-5.74483888333905,0.0003708261552051098,5.745209709494255,-5.423859374098502,0.0005151868406663041,5.424374560939167,0.0008266325993837829,0.0008266325993837829,0.0004508905087547907,0.0004508905087547907,0.0004508905087547907,0.0004508905087547907,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.8,-0.6)",WIDER_THAN_ONE_TICK,200+,10491,0.004439059106677058,-4.642342105543811,0.0011950011277537395,4.643537106671566,-4.845016102325478,0.0010456208013010363,4.8460617231267795,-4.861737726801932,0.0010726361194403114,4.862810362921373,0.0003812791916881136,0.0003812791916881136,0.0001906395958440568,0.0001906395958440568,0.0003812791916881136,0.0003812791916881136,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.6,-0.4)",ONE_TICK,5-25,10700,0.043376188328788375,-12.299691098996707,0.0005400169165582706,12.300231115913263,-22.436515126568292,0.0,22.436515126568292,-17.852210517805688,0.0,17.852210517805688,0.00018691588785046728,0.00018691588785046728,0.0,0.0,0.0,0.0,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.6,-0.4)",ONE_TICK,25-50,29665,0.020834086274261348,-4.625387791045813,0.0005957636585975706,4.62598355470441,-8.200734633574685,0.0001408976310923729,8.200875531205778,-6.655394461992073,0.00029061715628666206,6.65568507914836,0.0002359683128265633,0.0002359683128265633,3.3709758975223326e-05,3.3709758975223326e-05,0.00010112927692566998,0.00010112927692566998,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.6,-0.4)",ONE_TICK,50-100,33929,0.018067936521906844,-2.8083008071671682,0.000904020882432644,2.8092048280496007,-4.831341082958872,0.0005728980260707432,4.831913980984942,-4.004955549010121,0.0006487691526986612,4.005604318162819,0.00047157299065696013,0.00047157299065696013,2.9473311916060008e-05,2.9473311916060008e-05,8.841993574818003e-05,8.841993574818003e-05,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.6,-0.4)",ONE_TICK,100-200,8826,0.012820747799214053,-1.5296953248532186,0.0010742022017364524,1.5307695270549553,-2.4527143917153036,0.0006409585593037784,2.4533553502746073,-2.13580640981859,0.0007434982541187383,2.1365499080727086,0.0013596193065941536,0.0013596193065941536,0.00011330160888284614,0.00011330160888284614,0.00045320643553138455,0.00045320643553138455,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.6,-0.4)",ONE_TICK,200+,1326,0.0143436347309738,-0.9997659996377144,0.0013764274042591396,1.0011424270419738,-1.453961106761125,0.0,1.453961106761125,-1.3541901049626606,0.00030385188974916644,1.3544939568524097,0.0030165912518853697,0.0030165912518853697,0.0,0.0,0.0030165912518853697,0.0030165912518853697,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.6,-0.4)",WIDER_THAN_ONE_TICK,5-25,308,0.03999647527825429,-22.377707311634865,0.0,22.377707311634865,-32.012889420373696,0.0,32.012889420373696,-27.66092151088463,0.0,27.66092151088463,0.0,0.0,0.0,0.0,0.0,0.0,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.6,-0.4)",WIDER_THAN_ONE_TICK,25-50,3336,0.049871381911934555,-9.400558246776182,0.00018445679563287645,9.400742703571815,-12.485619434019863,0.0,12.485619434019863,-11.167356280074017,0.0,11.167356280074017,0.00029976019184652276,0.00029976019184652276,0.0,0.0,0.0,0.0,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.6,-0.4)",WIDER_THAN_ONE_TICK,50-100,11174,0.012995001468913015,-5.45497398985414,0.0019975442073714416,5.456971534061513,-7.235402577249914,0.00141620372697537,7.23681878097689,-6.521383248697734,0.0016060194080124192,6.522989268105747,0.0005369608018614641,0.0005369608018614641,0.00026848040093073206,0.00026848040093073206,0.00026848040093073206,0.00026848040093073206,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.6,-0.4)",WIDER_THAN_ONE_TICK,100-200,17872,0.013889681692288006,-4.75352337094976,0.0007425552858011228,4.754265926235561,-5.686742093523378,0.0005696050826321289,5.68731169860601,-5.365110115778673,0.0006149131801853282,5.365725028958859,0.000391674127126231,0.000391674127126231,5.595344673231871e-05,5.595344673231871e-05,0.00022381378692927484,0.00022381378692927484,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.6,-0.4)",WIDER_THAN_ONE_TICK,200+,12078,0.008040449880109438,-4.197234323774899,0.0004841184213155237,4.197718442196215,-4.433126179523747,0.00038557727605356386,4.433511756799801,-4.434462870206537,0.0003945893314068999,4.434857459537943,0.0003311806590495115,0.0003311806590495115,0.00024838549428713363,0.00024838549428713363,0.0003311806590495115,0.0003311806590495115,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.4,-0.2)",ONE_TICK,5-25,15485,0.022640454598893887,-12.869010612503644,0.00025473541613659325,12.86926534791978,-23.47530406786555,0.0,23.47530406786555,-18.67356352887518,0.0,18.67356352887518,0.00012915724895059736,0.00012915724895059736,0.0,0.0,0.0,0.0,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.4,-0.2)",ONE_TICK,25-50,38618,0.010271438242121511,-4.676679901738576,0.00041615341204835886,4.677096055150624,-8.287437416954651,0.00016215129021938086,8.28759956824487,-6.7256967044636085,0.00022141306076273905,6.725918117524371,0.00020715728416800455,0.00020715728416800455,2.589466052100057e-05,2.589466052100057e-05,5.178932104200114e-05,5.178932104200114e-05,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-0.4,-0.2)",ONE_TICK,50-100,46672,0.009591121582456586,-2.78979358330623,0.00013832241257624186,2.789931905718806,-4.79011863348378,0.0,4.79011863348378,-3.9742537126343613,0.0,3.9742537126343613,0.0004070963318477888,0.0004070963318477888,0.0,0.0,0.0,0.0,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
