horizon_ms,bin_index,bin,bin_midpoint,observations,observations_total_at_horizon,coverage_fraction,mean_bps,median_bps,std_bps,prob_positive,prob_negative,prob_zero,block_bootstrap_se_bps,block_bootstrap_ci_low_bps,block_bootstrap_ci_high_bps,symbol_dispersion_std_bps,day_dispersion_std_bps,symbols_with_observations
100,0,"[-1.0,-0.8)",-0.9,790116,14274000,0.05535350987810004,-0.021059909937904745,0.0,0.7893929419258369,0.01617230887616502,0.031766221668716996,0.9520614694551179,0.0013958954087264794,-0.023820420847670172,-0.0183618647782049,0.05684374959760158,UNKNOWN_SINGLE_SAMPLE_DAY,61
100,1,"[-0.8,-0.6)",-0.7,832565,14274000,0.05832737845032927,-0.024934729658921,0.0,0.4813732686143708,0.00941427996612877,0.02443773158852462,0.9661479884453467,0.001006193461329553,-0.027042467159449884,-0.023048700004665523,0.029057923427689966,UNKNOWN_SINGLE_SAMPLE_DAY,61
100,2,"[-0.6,-0.4)",-0.5,1377631,14274000,0.09651331091495026,-0.016992871402029482,0.0,0.5301509171802841,0.008777386687726974,0.01932520391890136,0.9718974093933717,0.0007638728980229686,-0.01860929749578686,-0.015520989795956727,0.010646173498611067,UNKNOWN_SINGLE_SAMPLE_DAY,61
100,3,"[-0.4,-0.2)",-0.30000000000000004,1764580,14274000,0.12362197001541264,-0.008758342435922543,0.0,0.3726838376803946,0.010239830441238142,0.016526312210271,0.9732338573484909,0.0003691207371508082,-0.009510405545301472,-0.008064098236663536,0.0035688212848241536,UNKNOWN_SINGLE_SAMPLE_DAY,61
100,4,"[-0.2,0.0)",-0.1,1731704,14274000,0.12131876138433516,-0.003079959645573946,0.0,0.3310472945939153,0.009957821891039114,0.012372206797466541,0.9776699713114944,0.0002854955949140734,-0.0036609963170773497,-0.0025317591657395317,0.0036623180365028324,UNKNOWN_SINGLE_SAMPLE_DAY,61
100,5,"[0.0,0.2)",0.1,2539930,14274000,0.1779410116295362,0.0018698141601063798,0.0,0.3796742513406132,0.0163685613383046,0.014948049749402543,0.9686833889122929,0.0002610674152669289,0.0013629452893410944,0.0023715960801220038,0.003338901263465319,UNKNOWN_SINGLE_SAMPLE_DAY,61
100,6,"[0.2,0.4)",0.30000000000000004,2027349,14274000,0.142030895334174,0.00823559533916062,0.0,0.35875970573504823,0.016317861404227887,0.010125045071174227,0.9735570935245978,0.0003495941197452086,0.007566421855068846,0.00893774267991863,0.0048730858036972425,UNKNOWN_SINGLE_SAMPLE_DAY,61
100,7,"[0.4,0.6)",0.5,1376248,14274000,0.0964164214656018,0.01474067076790522,0.0,0.39808831428132485,0.017804930506711,0.008168585894402752,0.9740264835988862,0.0005937733015602774,0.013596039851766826,0.01593672573193144,0.011154074196249225,UNKNOWN_SINGLE_SAMPLE_DAY,61
100,8,"[0.6,0.8)",0.7,982558,14274000,0.06883550511419363,0.02502351020799923,0.0,0.48524712727513086,0.02441891471037842,0.009171977633890315,0.9664091076557313,0.001154072703950573,0.022826080338373297,0.027334067570111586,0.028389482675681064,UNKNOWN_SINGLE_SAMPLE_DAY,61
100,9,"[0.8,1.0]",0.9,851319,14274000,0.05964123581336696,0.0236981389067818,0.0,0.5029751649318546,0.03173428526791955,0.015194069438130713,0.9530716452939497,0.0015191285784336775,0.021018570919936003,0.026777914365682665,0.05492381439160364,UNKNOWN_SINGLE_SAMPLE_DAY,61
