date,scope,symbol,locate,timestamp_reversals,identical_timestamp_messages,messages_late_after_decision,cross_channel_ordering_ambiguity,canonical_order_source,action_taken
2019-07-30,DEV_SCOPE,AAPL,14,0,56833,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,AMZN,386,0,33043,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,BYND,1142,0,32062,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,FB,2741,0,30554,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,NFLX,5498,0,20592,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,AMD,337,0,37376,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,GOOG,3459,0,11039,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,TSLA,7928,0,27074,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,MSFT,5289,0,29142,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,GOOGL,3460,0,10010,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,PYPL,6474,0,13890,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,FISV,2884,0,9615,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,MU,5334,0,22289,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,ADBE,91,0,6115,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,NVDA,5702,0,17013,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,ILMN,4106,0,4795,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
2019-07-30,DEV_SCOPE,INTC,4184,0,25535,0,NOT_APPLICABLE_SINGLE_FEED,FILE_ORDER_THEN_TIMESTAMP_AS_OF,NONE_RECORDED_NOT_REPAIRED
