date,scope,symbol,locate,messages,duplicate_check_applied,duplicates_adjacent,duplicates_within_bucket,timestamp_reversals,max_reversal_ns,identical_timestamp_messages,messages_late_after_decision,exact_duplicates_within_bucket_full_tape,tuple_key_repeats_adjacent,receive_clock_present,sequence_number_present,channel_field_present
2019-07-30,DEV_SCOPE,AMGN,342,158820,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,5229,0,,,false,false,false
2019-07-30,DEV_SCOPE,ZBRA,8794,81017,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3191,0,,,false,false,false
2019-07-30,DEV_SCOPE,BKNG,908,58167,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1666,0,,,false,false,false
2019-07-30,DEV_SCOPE,ALXN,320,221218,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3666,0,,,false,false,false
2019-07-30,DEV_SCOPE,NBIX,5417,108948,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3174,0,,,false,false,false
2019-07-30,DEV_SCOPE,CELG,1311,194881,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,5000,0,,,false,false,false
2019-07-30,DEV_SCOPE,MELI,5039,41984,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1361,0,,,false,false,false
2019-07-30,DEV_SCOPE,ADP,103,154626,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3087,0,,,false,false,false
2019-07-30,DEV_SCOPE,CMCSA,1534,441233,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,7955,0,,,false,false,false
2019-07-30,DEV_SCOPE,AVGO,627,169507,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,4697,0,,,false,false,false
2019-07-30,DEV_SCOPE,MDLZ,5020,313346,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,7670,0,,,false,false,false
2019-07-30,DEV_SCOPE,XLNX,8688,308290,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,4923,0,,,false,false,false
2019-07-30,DEV_SCOPE,VRTX,8399,111759,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3759,0,,,false,false,false
2019-07-30,DEV_SCOPE,TTD,7941,85156,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3117,0,,,false,false,false
2019-07-30,DEV_SCOPE,CSX,1767,317243,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,5769,0,,,false,false,false
2019-07-30,DEV_SCOPE,CME,1539,89329,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2336,0,,,false,false,false
2019-07-30,DEV_SCOPE,ISRG,4267,89511,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3138,0,,,false,false,false
2019-07-30,DEV_SCOPE,DISH,2046,203253,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,6781,0,,,false,false,false
2019-07-30,DEV_SCOPE,PAYX,5986,251622,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3698,0,,,false,false,false
2019-07-30,DEV_SCOPE,SBAC,6939,72538,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1702,0,,,false,false,false
2019-07-30,DEV_SCOPE,INTU,4189,107567,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1928,0,,,false,false,false
2019-07-30,DEV_SCOPE,EQIX,2519,77211,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1502,0,,,false,false,false
2019-07-30,DEV_SCOPE,CGNX,1363,163957,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,5626,0,,,false,false,false
2019-07-30,DEV_SCOPE,COST,1648,130452,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,4504,0,,,false,false,false
2019-07-30,DEV_SCOPE,ULTA,8091,74099,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1783,0,,,false,false,false
2019-07-30,DEV_SCOPE,CTXS,1808,161625,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3139,0,,,false,false,false
2019-07-30,DEV_SCOPE,TTWO,7955,207278,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2761,0,,,false,false,false
2019-07-30,DEV_SCOPE,WDC,8497,314311,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,6426,0,,,false,false,false
2019-07-30,DEV_SCOPE,GHDX,3318,108490,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2485,0,,,false,false,false
2019-07-30,DEV_SCOPE,CSGP,1744,32061,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,812,0,,,false,false,false
2019-07-30,DEV_SCOPE,MEDP,5035,88507,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2349,0,,,false,false,false
2019-07-30,DEV_SCOPE,ORLY,5895,68238,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1119,0,,,false,false,false
2019-07-30,DEV_SCOPE,LRCX,4878,229759,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3225,0,,,false,false,false
