locate,symbol,market_category,issue_classification,dollar_volume_usd,shares_traded,trade_count,cross_messages,median_trade_price_usd,price_ok,median_dollar_volume,liquidity_rank_all_eligible,liquidity_rank,in_liquidity_decile,reason_code,proxy_status,reporting_only
1264,CCNE,Q,C,224739.36,7954,114,2,28.25,True,224739.36,1298,1293,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1265,CCNI,S,C,31704.41,4804,24,2,6.41,True,31704.41,1819,1777,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1267,CCOI,Q,C,3113871.995,49076,1057,2,63.44,True,3113871.995,584,583,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1271,CCRN,Q,C,369006.715,38353,623,2,9.64,True,369006.715,1189,1184,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1277,CCXI,Q,C,716283.56,88731,1110,2,8.08,True,716283.56,1008,1005,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1282,CDEV,S,C,7461355.24,1298570,6452,2,5.755,True,7461355.24,356,356,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1283,CDK,Q,C,8923311.175,170258,3050,2,52.37,True,8923311.175,313,313,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1285,CDLX,G,C,1551073.75,53487,829,2,28.97,True,1551073.75,788,786,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1286,CDMO,S,C,535907.245,79590,853,2,6.75,True,535907.245,1091,1087,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1288,CDNA,G,C,8053594.4,238903,3461,2,33.77,True,8053594.4,334,334,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1289,CDNS,Q,C,27798600.495,367661,5925,2,75.52,True,27798600.495,134,134,True,PROXY_LIQUIDITY_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1294,CDTX,G,C,51309.86,34246,156,2,1.5,True,51309.86,1685,1657,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1295,CDW,Q,C,47794887.555,421851,6794,2,113.32,True,47794887.555,84,84,True,PROXY_LIQUIDITY_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1296,CDXC,S,C,398193.81,83244,538,2,4.76,True,398193.81,1169,1164,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1297,CDXS,Q,C,804735.465,43140,640,2,18.68,True,804735.465,972,969,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1298,CDZI,G,C,185426.09,17432,246,2,10.62,True,185426.09,1360,1354,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1301,CECE,Q,C,236082.44,26365,395,2,8.97,True,236082.44,1290,1285,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1302,CECO,Q,C,1925334.115,97828,1168,2,19.69,True,1925334.115,725,723,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1310,CELC,S,C,51582.64,2347,71,2,22.03,True,51582.64,1681,1653,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1311,CELG,Q,C,86782366.43,937161,10467,2,92.58,True,86782366.43,39,39,True,PROXY_LIQUIDITY_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1313,CELH,S,C,47525.715,9529,114,2,4.99,True,47525.715,1706,1677,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1317,CEMI,S,C,17678.15,2932,48,2,6.05,True,17678.15,1951,1889,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1319,CENT,Q,C,1093230.07,36004,577,2,30.51,True,1093230.07,885,882,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
