locate,symbol
7163,SIRI
337,AMD
1534,CMCSA
4184,INTC
5273,MRVL
5334,MU
1740,CSCO
2277,EBAY
5020,MDLZ
7,AAL
6494,QCOM
8665,XEL
325,AMAT
379,AMTD
4,AABA
6964,SBUX
604,ATVI
1767,CSX
8470,WBA
1799,CTSH
5289,MSFT
5986,PAYX
8497,WDC
3339,GILD
2884,FISV
7810,TMUS
6474,PYPL
1327,CERN
1808,CTXS
7701,TER
1311,CELG
14,AAPL
6089,PEP
